size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 2.038462, 0.395522, 0.384058, 3.533333, 4.076923, 0.803030, 1.000000, 
160, 7.322, 2.193548, 0.456376, 0.456376, 4.857143, 5.230769, 0.871795, 1.000000, 
192, 7.585, 2.482759, 0.476821, 0.510638, 4.800000, 4.500000, 0.900000, 1.000000, 
384, 8.585, 2.333333, 0.527397, 0.450292, 5.500000, 5.133333, 0.836957, 1.000000, 
480, 8.907, 2.448276, 1.075758, 0.806818, 2.958333, 3.944444, 1.044118, 1.000000, 
640, 9.322, 2.264706, 0.432584, 0.430168, 5.133333, 5.500000, 0.865169, 1.000000, 
768, 9.585, 2.580645, 0.808081, 0.522876, 4.444444, 4.705882, 0.851064, 1.000000, 
800, 9.644, 1.965517, 0.640449, 0.570000, 3.166667, 7.125000, 1.239130, 1.000000, 
2400, 11.229, 3.350000, 0.797619, 0.797619, 5.583333, 6.700000, 1.080645, 1.000000, 
9216, 13.170, 2.628571, 1.135802, 1.135802, 6.571429, 6.133333, 0.989247, 1.000000, 
