size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 4058.262027, 20915.658141, 21540.006145, 2341.305016, 2029.131014, 10301.742070, 8272.611056, 
160, 7.322, 4611.357343, 22164.265940, 22164.265940, 2082.548478, 1933.795015, 11602.770089, 10115.235463, 
192, 7.585, 4467.921069, 23264.002807, 21723.340369, 2310.993656, 2465.059900, 12325.299500, 11092.769550, 
384, 8.585, 5033.868173, 22271.053127, 26084.589622, 2135.580437, 2288.121897, 14033.814299, 11745.692403, 
480, 8.907, 4586.413061, 10438.043518, 13917.391358, 3795.652188, 2846.739141, 10754.347867, 11228.804391, 
640, 9.322, 4998.104628, 26166.547757, 26313.550834, 2205.046159, 2058.043082, 13083.273878, 11319.236951, 
768, 9.585, 4688.115885, 14971.724922, 23138.120334, 2722.131804, 2570.902259, 14215.577198, 12098.363573, 
800, 9.644, 4410.312883, 13535.098157, 15207.975457, 2737.435582, 1216.638037, 6995.668710, 8668.546011, 
2400, 11.229, 2897.574205, 12169.811663, 0.000000, 1738.544523, 1448.787103, 8982.480037, 9706.873588, 
9216, 13.170, 4893.800842, 11325.653377, 0.000000, 1957.520337, 2097.343218, 13003.527951, 12863.705070, 
