size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 2.000000, 1.047619, 0.977778, 2.933333, 2.095238, 0.862745, 1.000000, 
32, 5.000, 2.208333, 0.946429, 0.464912, 2.650000, 2.944444, 0.815385, 1.000000, 
64, 6.000, 2.151515, 0.452229, 0.559055, 2.448276, 2.840000, 0.845238, 1.000000, 
128, 7.000, 1.948718, 0.487179, 0.436782, 3.040000, 3.454545, 0.737864, 1.000000, 
256, 8.000, 2.350000, 0.484536, 0.451923, 3.357143, 3.916667, 0.895238, 1.000000, 
512, 9.000, 2.435897, 0.470297, 0.443925, 3.166667, 3.800000, 0.863636, 1.000000, 
1024, 10.000, 2.897436, 0.540670, 0.576531, 4.035714, 4.035714, 0.933884, 1.000000, 
2048, 11.000, 2.375000, 0.456731, 0.510753, 3.064516, 3.800000, 1.021505, 1.000000, 
4096, 12.000, 2.282051, 0.585526, 0.585526, 2.966667, 3.296296, 0.898990, 1.000000, 
8192, 13.000, 2.025000, 0.843750, 0.843750, 3.240000, 3.375000, 0.900000, 1.000000, 
16384, 14.000, 2.828571, 0.798387, 0.798387, 3.300000, 3.535714, 0.916667, 1.000000, 
32768, 15.000, 1.921053, 0.669725, 0.669725, 2.703704, 3.318182, 0.912500, 1.000000, 
65536, 16.000, 2.169231, 0.849398, 0.849398, 2.937500, 3.439024, 0.933775, 1.000000, 
131072, 17.000, 2.033333, 0.813333, 0.813333, 2.772727, 3.812500, 0.983871, 1.000000, 
262144, 18.000, 2.416667, 0.906250, 0.906250, 2.900000, 4.557143, 0.935484, 1.000000, 
524288, 19.000, 2.000000, 2.000000, 2.000000, 2.500000, 4.666667, 1.000000, 1.000000, 
1048576, 20.000, 1.818182, 1.818182, 1.818182, 2.272727, 4.545455, 0.909091, 1.000000, 
