size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 3424.204101, 3852.229613, 5992.357177, 2282.802734, 2140.127563, 8275.159910, 7419.108885, 
160, 7.322, 4079.098860, 8430.137643, 8294.167681, 1767.609506, 1495.669582, 10605.657035, 9245.957415, 
192, 7.585, 4224.938191, 7323.226197, 8168.213835, 2253.300368, 1830.806549, 10703.176750, 10562.345477, 
384, 8.585, 4183.813482, 7530.864267, 9622.771008, 2510.288089, 2231.367190, 11993.598648, 11435.756850, 
480, 8.907, 4049.024011, 8387.264023, 9399.520026, 3325.984009, 2892.160008, 12580.896035, 10556.384029, 
640, 9.322, 4306.999251, 9017.779683, 9690.748316, 2153.499626, 1615.124719, 13459.372661, 12920.997754, 
768, 9.585, 4563.033504, 9126.067008, 11200.173147, 2765.474851, 2212.379881, 14242.195483, 13136.005542, 
800, 9.644, 4316.497450, 10164.655284, 11417.831963, 2367.111505, 1810.144092, 11974.799376, 12392.524936, 
2400, 11.229, 3298.577779, 7652.700446, 0.000000, 1583.317334, 1319.431111, 10291.562669, 12138.766225, 
9216, 13.170, 4101.471182, 9740.994056, 0.000000, 2178.906565, 1666.222668, 13073.439392, 11407.216724, 
