size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 0.928571, 0.342105, 0.309524, 0.393939, 1.000000, 0.928571, 1.000000, 
32, 5.000, 1.944444, 1.400000, 0.833333, 2.333333, 1.944444, 0.945946, 1.000000, 
64, 6.000, 1.807692, 1.516129, 1.000000, 2.238095, 2.764706, 0.824561, 1.000000, 
128, 7.000, 2.030303, 1.595238, 1.098361, 2.680000, 3.045455, 0.917808, 1.000000, 
256, 8.000, 2.709677, 1.400000, 1.037037, 3.500000, 4.000000, 0.865979, 1.000000, 
512, 9.000, 2.916667, 1.521739, 1.296296, 4.375000, 4.565217, 0.990566, 1.000000, 
1024, 10.000, 3.459459, 1.969231, 1.454545, 4.740741, 6.095238, 0.977099, 1.000000, 
2048, 11.000, 3.078947, 1.581081, 1.158416, 4.500000, 4.875000, 1.083333, 1.000000, 
4096, 12.000, 2.702703, 1.315789, 1.315789, 4.000000, 4.000000, 0.854701, 1.000000, 
8192, 13.000, 2.636364, 1.279412, 1.279412, 3.625000, 3.480000, 0.935484, 1.000000, 
16384, 14.000, 2.823529, 1.315068, 1.315068, 4.000000, 4.000000, 0.941176, 1.000000, 
32768, 15.000, 2.705882, 1.373134, 1.373134, 3.285714, 3.538462, 0.910891, 1.000000, 
65536, 16.000, 2.214286, 1.273973, 1.273973, 3.000000, 3.444444, 1.021978, 1.000000, 
131072, 17.000, 2.283019, 1.344444, 1.344444, 2.750000, 3.361111, 1.061404, 1.000000, 
262144, 18.000, 2.166667, 1.106383, 1.106383, 2.600000, 3.466667, 0.852459, 1.000000, 
524288, 19.000, 2.777778, 1.190476, 1.190476, 2.777778, 4.166667, 0.862069, 1.000000, 
1048576, 20.000, 1.800000, 0.900000, 0.900000, 2.475000, 4.500000, 0.900000, 1.000000, 
