size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
32, 5.000, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
64, 6.000, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
128, 7.000, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
256, 8.000, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
512, 9.000, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
1024, 10.000, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
2048, 11.000, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
4096, 12.000, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
8192, 13.000, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
16384, 14.000, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
32768, 15.000, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
65536, 16.000, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
131072, 17.000, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
262144, 18.000, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
524288, 19.000, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 0.156250, 
1048576, 20.000, 0.156250, 0.156250, 0.156250, 0.171875, 0.156250, 0.156250, 0.156250, 
