| input len | real FFTPack |real FFTWestim|real FFTWauto |  real  Green |  real   Kiss | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx  Green |  cplx   Kiss | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|        2  |        183   |        397   |        397   |        715   |        159   |         54   |         52   |        283   |        481   |       1082   |       1455   |        661   |        176   |        165   |
|        4  |        542   |       1191   |       1430   |       2383   |        715   |        238   |        199   |        794   |       1720   |       3175   |       3836   |       1984   |        794   |        661   |
|        8  |        866   |       2859   |       3336   |       3217   |       1668   |        715   |        596   |       1058   |       3307   |       5026   |       5159   |       1852   |       2116   |       1852   |
|       16  |       2025   |       4885   |       4885   |       4170   |       1787   |       1668   |       1668   |       3042   |       5158   |       5555   |       1719   |       2645   |       6613   |       5291   |
|       32  |       2502   |       2978   |       3812   |       1906   |       2621   |       4289   |       4408   |       3307   |       7672   |      14021   |       2778   |       1852   |       7407   |       6746   |
|       64  |       3812   |       3336   |       5004   |       2740   |       2264   |       7148   |       7148   |       4497   |      17724   |      19311   |       3307   |       2910   |      11507   |       8465   |
|      128  |       3931   |       6076   |       8339   |       3217   |       2859   |       9888   |       8697   |       5025   |      19174   |      22348   |       3174   |       2248   |      12298   |      10314   |
|      256  |       4763   |       8216   |       8455   |       2858   |       2501   |      12622   |      12027   |       5290   |      23012   |      22086   |       3835   |       3042   |      13754   |      10977   |
|      512  |       4641   |       8925   |      10591   |       3332   |       2737   |      14399   |      12614   |       5417   |      24839   |      26028   |       3831   |       2775   |      13476   |      12155   |
|     1024  |       4520   |       8683   |      12727   |       3093   |       2736   |      18556   |      15106   |       4742   |      26609   |      26872   |       3161   |       3425   |      14358   |      13304   |
|     2048  |       4282   |       9397   |       9397   |       3568   |       2855   |      16653   |      14750   |       5248   |      24535   |      24535   |       3411   |       2886   |      12333   |      11546   |
|     4096  |       4601   |       9437   |      n/a     |       3421   |       2831   |      14628   |      13802   |       4492   |      18497   |      n/a     |       3699   |       3303   |      12684   |      10966   |
|     8192  |       4287   |       7995   |      n/a     |       3360   |       3476   |      12166   |      11123   |       4791   |      13338   |      n/a     |       2719   |       2978   |      11137   |       9712   |
|    16384  |       3641   |       9395   |      n/a     |       3171   |       2819   |      12214   |      11274   |       4096   |      13741   |      n/a     |       3435   |       3171   |      11098   |      10438   |
|    32768  |       4074   |       8478   |      n/a     |       3303   |       3193   |      11450   |      10680   |       4278   |      13212   |      n/a     |       3146   |       2642   |      10192   |       7927   |
|    65536  |       3926   |       7550   |      n/a     |       3322   |       2617   |       9462   |       7348   |       3154   |      10402   |      n/a     |       3288   |       2617   |       9328   |       8456   |
|   131072  |       3708   |       5776   |      n/a     |       2923   |       2710   |       8342   |       7701   |       3850   |       9697   |      n/a     |       2995   |       1996   |       8129   |       7843   |
|   262144  |       3926   |       6644   |      n/a     |       2567   |       1963   |       7550   |       8456   |       3624   |       8758   |      n/a     |       3020   |       1812   |       9060   |       6946   |
|   524288  |       3188   |       7013   |      n/a     |       2550   |       1594   |       8288   |       7650   |       3477   |       3477   |      n/a     |       2550   |       1159   |       5738   |       5738   |
|  1048576  |       3355   |       6040   |      n/a     |       2684   |       1118   |       6711   |       6040   |       3355   |       3355   |      n/a     |       2684   |       1118   |       6101   |       6101   |
