size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 103785.000000, 462315.000000, 361675.000000, 56610.000000, 40885.000000, 279905.000000, 226440.000000, 
160, 7.322, 58212.000000, 270039.000000, 333102.000000, 25872.000000, 21021.000000, 156849.000000, 134211.000000, 
192, 7.585, 45832.000000, 231856.000000, 207592.000000, 25612.000000, 24264.000000, 141540.000000, 111884.000000, 
384, 8.585, 22971.000000, 106020.000000, 127224.000000, 12958.000000, 8835.000000, 61256.000000, 52421.000000, 
480, 8.907, 16014.000000, 34854.000000, 54165.000000, 13188.000000, 8949.000000, 46158.000000, 39564.000000, 
640, 9.322, 12560.000000, 64370.000000, 60916.000000, 5024.000000, 5652.000000, 34854.000000, 30144.000000, 
768, 9.585, 8908.000000, 29606.000000, 54234.000000, 4978.000000, 4192.000000, 29868.000000, 25938.000000, 
800, 9.644, 8785.000000, 29618.000000, 31375.000000, 4769.000000, 5020.000000, 27359.000000, 20833.000000, 
2400, 11.229, 2448.000000, 6460.000000, 6460.000000, 884.000000, 1020.000000, 6596.000000, 6256.000000, 
9216, 13.170, 555.000000, 1320.000000, 1320.000000, 210.000000, 225.000000, 1245.000000, 1305.000000, 
