size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 742716.000000, 1259388.000000, 1356264.000000, 419796.000000, 645840.000000, 1614600.000000, 1291680.000000, 
32, 5.000, 322925.000000, 749186.000000, 1369202.000000, 271257.000000, 180838.000000, 723352.000000, 658767.000000, 
64, 6.000, 182988.000000, 721188.000000, 785772.000000, 134550.000000, 118404.000000, 468234.000000, 344448.000000, 
128, 7.000, 87628.000000, 334370.000000, 389714.000000, 55344.000000, 39202.000000, 214458.000000, 179868.000000, 
256, 8.000, 40360.000000, 175566.000000, 168503.000000, 29261.000000, 23207.000000, 104936.000000, 83747.000000, 
512, 9.000, 18368.000000, 84224.000000, 88256.000000, 12992.000000, 9408.000000, 45696.000000, 41216.000000, 
1024, 10.000, 7236.000000, 40602.000000, 41004.000000, 4824.000000, 5226.000000, 21909.000000, 20301.000000, 
2048, 11.000, 3640.000000, 17017.000000, 17017.000000, 2366.000000, 2002.000000, 8554.000000, 8008.000000, 
4096, 12.000, 1428.000000, 5880.000000, 5880.000000, 1176.000000, 1050.000000, 4032.000000, 3486.000000, 
8192, 13.000, 703.000000, 1957.000000, 1957.000000, 399.000000, 437.000000, 1634.000000, 1425.000000, 
16384, 14.000, 279.000000, 936.000000, 936.000000, 234.000000, 216.000000, 756.000000, 711.000000, 
32768, 15.000, 136.000000, 420.000000, 420.000000, 100.000000, 84.000000, 324.000000, 252.000000, 
65536, 16.000, 47.000000, 155.000000, 155.000000, 49.000000, 39.000000, 139.000000, 126.000000, 
131072, 17.000, 27.000000, 68.000000, 68.000000, 21.000000, 14.000000, 57.000000, 55.000000, 
262144, 18.000, 12.000000, 29.000000, 29.000000, 10.000000, 6.000000, 30.000000, 23.000000, 
524288, 19.000, 6.000000, 6.000000, 6.000000, 4.000000, 2.000000, 9.000000, 9.000000, 
1048576, 20.000, 3.000000, 3.000000, 3.000000, 2.000000, 1.000000, 5.000000, 5.000000, 
