size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 3042.164736, 5158.453248, 5555.257344, 1719.484416, 2645.360640, 6613.401600, 5290.721280, 
32, 5.000, 3306.752000, 7671.664640, 14020.628480, 2777.671680, 1851.781120, 7407.124480, 6745.774080, 
64, 6.000, 4497.113088, 17723.916288, 19311.132672, 3306.700800, 2909.896704, 11507.318784, 8465.154048, 
128, 7.000, 5024.940032, 19174.113280, 22347.759616, 3173.646336, 2247.999488, 12297.879552, 10314.350592, 
256, 8.000, 5290.065920, 23011.786752, 22086.025216, 3835.297792, 3041.787904, 13754.171392, 10976.886784, 
512, 9.000, 5416.943616, 24838.668288, 26027.753472, 3831.496704, 2774.532096, 13476.298752, 12155.092992, 
1024, 10.000, 4742.184960, 26608.926720, 26872.381440, 3161.456640, 3424.911360, 14358.282240, 13304.463360, 
2048, 11.000, 5248.122880, 24534.974464, 24534.974464, 3411.279872, 2886.467584, 12333.088768, 11545.870336, 
4096, 12.000, 4492.099584, 18496.880640, 0.000000, 3699.376128, 3303.014400, 12683.575296, 10966.007808, 
8192, 13.000, 4791.468032, 13338.411008, 0.000000, 2719.481856, 2978.480128, 11136.925696, 9712.435200, 
16384, 14.000, 4095.737856, 13740.539904, 0.000000, 3435.134976, 3170.893824, 11098.128384, 10437.525504, 
32768, 15.000, 4278.190080, 13212.057600, 0.000000, 3145.728000, 2642.411520, 10192.158720, 7927.234560, 
65536, 16.000, 3154.116608, 10401.873920, 0.000000, 3288.334336, 2617.245696, 9328.132096, 8455.716864, 
131072, 17.000, 3850.371072, 9697.230848, 0.000000, 2994.733056, 1996.488704, 8128.561152, 7843.348480, 
262144, 18.000, 3623.878656, 8757.706752, 0.000000, 3019.898880, 1811.939328, 9059.696640, 6945.767424, 
524288, 19.000, 3477.459316, 3477.459316, 0.000000, 2550.136832, 1159.153105, 5737.807872, 5737.807872, 
1048576, 20.000, 3355.443200, 3355.443200, 0.000000, 2684.354560, 1118.481067, 6100.805818, 6100.805818, 
