size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 2.590909, 2.280000, 0.982759, 3.800000, 4.384615, 1.017857, 1.000000, 
160, 7.322, 2.266667, 1.152542, 1.192982, 4.857143, 6.181818, 0.931507, 1.000000, 
192, 7.585, 2.551724, 1.396226, 1.233333, 4.625000, 5.692308, 0.880952, 1.000000, 
384, 8.585, 2.709677, 1.527273, 1.423729, 4.941176, 5.250000, 0.913043, 1.000000, 
480, 8.907, 2.900000, 1.426230, 1.225352, 3.954545, 4.350000, 0.887755, 1.000000, 
640, 9.322, 2.852941, 1.492308, 1.168675, 6.062500, 8.083333, 1.000000, 1.000000, 
768, 9.585, 3.258065, 1.578125, 1.160920, 5.315789, 7.214286, 0.926606, 1.000000, 
800, 9.644, 2.875000, 1.260274, 1.194805, 5.111111, 6.571429, 0.828829, 1.000000, 
2400, 11.229, 3.620690, 1.750000, 1.750000, 6.562500, 11.666667, 1.235294, 1.000000, 
9216, 13.170, 3.031250, 1.590164, 1.590164, 7.461538, 7.461538, 0.970000, 1.000000, 
