size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 151382.000000, 172025.000000, 399098.000000, 103215.000000, 89453.000000, 385336.000000, 392217.000000, 
160, 7.322, 106140.000000, 208742.000000, 201666.000000, 49532.000000, 38918.000000, 258274.000000, 240584.000000, 
192, 7.585, 85521.000000, 156297.000000, 176940.000000, 47184.000000, 38337.000000, 247716.000000, 218226.000000, 
384, 8.585, 39990.000000, 70950.000000, 76110.000000, 21930.000000, 20640.000000, 118680.000000, 108360.000000, 
480, 8.907, 30960.000000, 62952.000000, 73272.000000, 22704.000000, 20640.000000, 101136.000000, 89784.000000, 
640, 9.322, 23392.000000, 44720.000000, 57104.000000, 11008.000000, 8256.000000, 66736.000000, 66736.000000, 
768, 9.585, 17763.000000, 36672.000000, 49851.000000, 10887.000000, 8022.000000, 62457.000000, 57873.000000, 
800, 9.644, 17600.000000, 40150.000000, 42350.000000, 9900.000000, 7700.000000, 61050.000000, 50600.000000, 
2400, 11.229, 4350.000000, 9000.000000, 9000.000000, 2400.000000, 1350.000000, 12750.000000, 15750.000000, 
9216, 13.170, 1056.000000, 2013.000000, 2013.000000, 429.000000, 429.000000, 3300.000000, 3201.000000, 
