size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
32, 5.000, 0.000000, 0.000000, 15.625000, 0.000000, 0.000000, 0.000000, 0.000000, 
64, 6.000, 0.000000, 0.000000, 46.875000, 0.000000, 0.000000, 0.000000, 0.000000, 
128, 7.000, 0.000000, 0.000000, 125.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
256, 8.000, 0.000000, 0.000000, 265.625000, 0.000000, 0.000000, 0.000000, 0.000000, 
512, 9.000, 0.000000, 0.000000, 390.625000, 0.000000, 0.000000, 0.000000, 0.000000, 
1024, 10.000, 0.000000, 0.000000, 593.750000, 0.000000, 0.000000, 0.000000, 0.000000, 
2048, 11.000, 0.000000, 0.000000, 750.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
4096, 12.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
8192, 13.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
16384, 14.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
32768, 15.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
65536, 16.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
131072, 17.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
262144, 18.000, 0.000000, 15.625000, 15.625000, 0.000000, 15.625000, 0.000000, 0.000000, 
524288, 19.000, 15.625000, 31.250000, 31.250000, 0.000000, 31.250000, 0.000000, 0.000000, 
1048576, 20.000, 15.625000, 46.875000, 46.875000, 15.625000, 78.125000, 0.000000, 0.000000, 
