size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 988907.000000, 2385011.000000, 2385011.000000, 2035985.000000, 872565.000000, 814394.000000, 814394.000000, 
32, 5.000, 488628.000000, 581700.000000, 744576.000000, 372288.000000, 511896.000000, 837648.000000, 860916.000000, 
64, 6.000, 310240.000000, 271460.000000, 407190.000000, 222985.000000, 184205.000000, 581700.000000, 581700.000000, 
128, 7.000, 137115.000000, 211905.000000, 290850.000000, 112185.000000, 99720.000000, 344865.000000, 303315.000000, 
256, 8.000, 72680.000000, 125373.000000, 129007.000000, 43608.000000, 38157.000000, 192602.000000, 183517.000000, 
512, 9.000, 31473.000000, 60525.000000, 71823.000000, 22596.000000, 18561.000000, 97647.000000, 85542.000000, 
1024, 10.000, 13794.000000, 26499.000000, 38841.000000, 9438.000000, 8349.000000, 56628.000000, 46101.000000, 
2048, 11.000, 5940.000000, 13035.000000, 13035.000000, 4950.000000, 3960.000000, 23100.000000, 20460.000000, 
4096, 12.000, 2925.000000, 6000.000000, 6000.000000, 2175.000000, 1800.000000, 9300.000000, 8775.000000, 
8192, 13.000, 1258.000000, 2346.000000, 2346.000000, 986.000000, 1020.000000, 3570.000000, 3264.000000, 
16384, 14.000, 496.000000, 1280.000000, 1280.000000, 432.000000, 384.000000, 1664.000000, 1536.000000, 
32768, 15.000, 259.000000, 539.000000, 539.000000, 210.000000, 203.000000, 728.000000, 679.000000, 
65536, 16.000, 117.000000, 225.000000, 225.000000, 99.000000, 78.000000, 282.000000, 219.000000, 
131072, 17.000, 52.000000, 81.000000, 81.000000, 41.000000, 38.000000, 117.000000, 108.000000, 
262144, 18.000, 26.000000, 44.000000, 44.000000, 17.000000, 13.000000, 50.000000, 56.000000, 
524288, 19.000, 10.000000, 22.000000, 22.000000, 8.000000, 5.000000, 26.000000, 24.000000, 
1048576, 20.000, 5.000000, 9.000000, 9.000000, 4.000000, 2.000000, 10.000000, 9.000000, 
