size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
16, 4.000, 2025.281536, 4884.502528, 4884.502528, 4169.697280, 1787.013120, 1667.878912, 1667.878912, 
32, 5.000, 2501.775360, 2978.304000, 3812.229120, 1906.114560, 2620.907520, 4288.757760, 4407.889920, 
64, 6.000, 3812.229120, 3335.700480, 5003.550720, 2740.039680, 2263.511040, 7147.929600, 7147.929600, 
128, 7.000, 3931.361280, 6075.740160, 8339.251200, 3216.568320, 2859.171840, 9887.969280, 8696.647680, 
256, 8.000, 4763.156480, 8216.444928, 8454.602752, 2857.893888, 2500.657152, 12622.364672, 12026.970112, 
512, 9.000, 4640.882688, 8924.774400, 10590.732288, 3331.915776, 2736.930816, 14398.636032, 12613.681152, 
1024, 10.000, 4520.017920, 8683.192320, 12727.418880, 3092.643840, 2735.800320, 18555.863040, 15106.375680, 
2048, 11.000, 4282.122240, 9396.879360, 9396.879360, 3568.435200, 2854.748160, 16652.697600, 14749.532160, 
4096, 12.000, 4600.627200, 9437.184000, 0.000000, 3420.979200, 2831.155200, 14627.635200, 13801.881600, 
8192, 13.000, 4287.102976, 7994.867712, 0.000000, 3360.161792, 3476.029440, 12166.103040, 11123.294208, 
16384, 14.000, 3640.655872, 9395.240960, 0.000000, 3170.893824, 2818.572288, 12213.813248, 11274.289152, 
32768, 15.000, 4073.717760, 8477.736960, 0.000000, 3303.014400, 3192.913920, 11450.449920, 10679.746560, 
65536, 16.000, 3925.868544, 7549.747200, 0.000000, 3321.888768, 2617.245696, 9462.349824, 7348.420608, 
131072, 17.000, 3707.764736, 5775.556608, 0.000000, 2923.429888, 2709.520384, 8342.470656, 7700.742144, 
262144, 18.000, 3925.868544, 6643.777536, 0.000000, 2566.914048, 1962.934272, 7549.747200, 8455.716864, 
524288, 19.000, 3187.671040, 7012.876288, 0.000000, 2550.136832, 1593.835520, 8287.944704, 7650.410496, 
1048576, 20.000, 3355.443200, 6039.797760, 0.000000, 2684.354560, 1118.481067, 6710.886400, 6039.797760, 
