| input len | real FFTPack |real FFTWestim|real FFTWauto |  real  Green |  real   Kiss |  real Pocket | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx  Green |  cplx   Kiss |  cplx Pocket | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|       96  |       5908   |       7839   |      14570   |       3716   |       3545   |       4873   |      12195   |      10709   |       7391   |      38056   |      42856   |       3743   |       2650   |       5836   |      15297   |      12531   |
|      160  |       6978   |      17636   |      21329   |       2942   |       2175   |       5014   |      13395   |      11600   |       8001   |      41817   |      48527   |       3358   |       3221   |       5428   |      13907   |      11911   |
|      192  |       7394   |      14409   |      17832   |       3668   |       2720   |       6242   |      16714   |      14561   |       8137   |      43002   |      48514   |       4193   |       4008   |       6737   |      17894   |      14864   |
|      384  |       7324   |      16184   |      20331   |       4075   |       3893   |       5741   |      18634   |      16259   |       8236   |      45233   |      52634   |       4599   |       3028   |       7199   |      18002   |      15082   |
|      480  |       7102   |      17131   |      18457   |       4743   |       4613   |       5928   |      19858   |      17958   |       6748   |      17245   |      32327   |       5242   |       3549   |       8405   |      20926   |      18234   |
|      640  |       7634   |      17911   |      21502   |       3588   |       2459   |       5285   |      17379   |      15286   |       8232   |      47416   |      46310   |       3067   |       3202   |       5835   |      13697   |      10974   |
|      768  |       6895   |      15837   |      20655   |       3959   |       2760   |       5999   |      19352   |      17413   |       7493   |      28119   |      48029   |       3706   |       3859   |       7369   |      17148   |      14967   |
|      800  |       6771   |      19994   |      22884   |       4089   |       2866   |       6179   |      20489   |      18267   |       6927   |      25373   |      33608   |       3871   |       4045   |       7716   |      18412   |      16107   |
|     2400  |       6770   |      17059   |        n/a   |       2922   |       2297   |       4521   |      13684   |      12442   |       6856   |      25610   |        n/a   |       2991   |       3033   |       5942   |      11537   |      10278   |
|     9216  |       6806   |      16820   |        n/a   |       2669   |       2299   |       3959   |      10135   |       9272   |       6865   |      18090   |        n/a   |       2754   |       2766   |       5688   |       9849   |       8993   |
