| input len | real FFTPack |real FFTWestim|real FFTWauto |  real  Green |  real   Kiss |  real Pocket | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx  Green |  cplx   Kiss |  cplx Pocket | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|        2  |        315   |        813   |        885   |       1022   |        271   |        176   |        n/a   |        n/a   |        497   |       1038   |       1660   |       2154   |       1154   |        366   |        n/a   |        n/a   |
|        4  |        916   |       2803   |       2824   |       3613   |       1290   |        628   |        n/a   |        n/a   |       1322   |       3187   |       4768   |       6501   |       3424   |       1195   |        n/a   |        n/a   |
|        8  |       1257   |       5904   |       5939   |       5976   |       3050   |       1046   |        n/a   |        n/a   |       1848   |       6154   |       8110   |       9533   |       2436   |       2115   |        n/a   |        n/a   |
|       16  |       3117   |       9191   |       9226   |       8047   |       2567   |       2694   |        n/a   |        n/a   |       4920   |       9755   |       9878   |       3370   |       4788   |       3913   |      11021   |       9019   |
|       32  |       3702   |       5696   |       9908   |       3390   |       4532   |       3649   |       7927   |       7040   |       5332   |      12855   |      26957   |       4543   |       3175   |       5248   |      12552   |      10636   |
|       64  |       6193   |       7555   |      11762   |       4393   |       3268   |       6299   |      13117   |      11400   |       7543   |      34957   |      40030   |       5622   |       5272   |       7110   |      18935   |      15618   |
|      128  |       7050   |      13129   |      17249   |       5287   |       5055   |       6909   |      17375   |      15195   |       8654   |      40082   |      47426   |       5314   |       3758   |       8263   |      21470   |      17705   |
|      256  |       8507   |      15518   |      21802   |       5144   |       3809   |       8773   |      23668   |      20466   |       9065   |      45073   |      52478   |       5866   |       5681   |       9456   |      25296   |      20935   |
|      512  |       8144   |      17596   |      25258   |       5689   |       5438   |       7970   |      25932   |      22676   |       8999   |      49249   |      54693   |       6424   |       4227   |      10007   |      24101   |      20512   |
|     1024  |       8593   |      18015   |      25766   |       6179   |       4214   |       9116   |      27261   |      24713   |       8579   |      49570   |      55947   |       5820   |       5831   |      11196   |      27194   |      23236   |
|     2048  |       8462   |      20313   |      26818   |       5700   |       5684   |       8751   |      29199   |      26030   |       9241   |      49035   |      52105   |       6035   |       4586   |      11297   |      23235   |      20212   |
|     4096  |       6825   |      20643   |        n/a   |       5937   |       4545   |       9110   |      27736   |      24842   |       8255   |      36047   |        n/a   |       6142   |       6007   |      11616   |      19785   |      18535   |
|     8192  |       7613   |      18773   |        n/a   |       5982   |       5771   |       8084   |      19636   |      17893   |       8365   |      25784   |        n/a   |       5642   |       4824   |      11381   |      19263   |      16773   |
|    16384  |       7452   |      20196   |        n/a   |       5249   |       4770   |       8180   |      21151   |      19175   |       7534   |      23672   |        n/a   |       5784   |       5842   |      11603   |      20552   |      18775   |
|    32768  |       7263   |      17334   |        n/a   |       5698   |       5641   |       7732   |      19808   |      17963   |       8147   |      24206   |        n/a   |       5758   |       4365   |      11612   |      17730   |      16344   |
|    65536  |       6937   |      15667   |        n/a   |       5669   |       4324   |       7595   |      17590   |      15909   |       7382   |      20507   |        n/a   |       5338   |       4754   |      11742   |      18776   |      16978   |
|   131072  |       6714   |      14719   |        n/a   |       5288   |       4805   |       7095   |      16865   |      15230   |       7375   |      19894   |        n/a   |       5346   |       3803   |      10095   |      15936   |      14528   |
|   262144  |       6369   |      14490   |        n/a   |       5284   |       3763   |       7126   |      15880   |      14437   |       6907   |      19030   |        n/a   |       5338   |       4200   |      10085   |      17072   |      15934   |
|   524288  |       6342   |      14743   |        n/a   |       5143   |       3804   |       6941   |      15186   |      14077   |       6351   |       7177   |        n/a   |       4836   |       2012   |       7915   |      11492   |      10794   |
|  1048576  |       5684   |      12605   |        n/a   |       4687   |       2167   |       5541   |      11080   |      10115   |       5312   |       4915   |        n/a   |       4316   |       1713   |       6418   |       8123   |       7699   |
|  2097152  |       4081   |       6310   |        n/a   |       4006   |       1707   |       4099   |       6909   |       6260   |       4952   |       2511   |        n/a   |       3521   |       1055   |       5685   |       7599   |       7243   |
