size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.004000, 0.031000, 83.851000, 0.001000, 0.022000, 0.002000, 0.002000, 0.002000, 
160, 7.322, 0.005000, 0.071000, 103.051000, 0.001000, 0.013000, 0.002000, 0.004000, 0.003000, 
192, 7.585, 0.004000, 0.315000, 133.798000, 0.002000, 0.014000, 0.002000, 0.003000, 0.003000, 
384, 8.585, 0.008000, 0.324000, 197.433000, 0.002000, 0.023000, 0.003000, 0.005000, 0.005000, 
480, 8.907, 0.010000, 0.313000, 311.403000, 0.002000, 0.026000, 0.003000, 0.006000, 0.005000, 
640, 9.322, 0.012000, 0.032000, 229.254000, 0.003000, 0.045000, 0.003000, 0.009000, 0.011000, 
768, 9.585, 0.015000, 0.420000, 266.832000, 0.003000, 0.046000, 0.003000, 0.010000, 0.008000, 
800, 9.644, 0.016000, 0.053000, 233.070000, 0.004000, 0.047000, 0.003000, 0.009000, 0.009000, 
2400, 11.229, 0.044000, 0.092000, 0.092000, 0.012000, 0.175000, 0.007000, 0.031000, 0.031000, 
9216, 13.170, 0.185000, 0.407000, 0.407000, 0.041000, 0.775000, 0.090000, 0.119000, 0.118000, 
