size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 1.695510, 0.329272, 0.292391, 3.348147, 4.729440, 2.147186, 0.819178, 1.000000, 
160, 7.322, 1.488682, 0.284831, 0.245448, 3.546781, 3.698048, 2.194488, 0.856444, 1.000000, 
192, 7.585, 1.826670, 0.345671, 0.306394, 3.545156, 3.708254, 2.206432, 0.830709, 1.000000, 
384, 8.585, 1.831269, 0.333433, 0.286549, 3.279767, 4.980803, 2.095093, 0.837821, 1.000000, 
480, 8.907, 2.701912, 1.057338, 0.564039, 3.478161, 5.138380, 2.169345, 0.871331, 1.000000, 
640, 9.322, 1.333114, 0.231444, 0.236971, 3.578545, 3.427754, 1.880623, 0.801225, 1.000000, 
768, 9.585, 1.997643, 0.532287, 0.311637, 4.038475, 3.878226, 2.031120, 0.872846, 1.000000, 
800, 9.644, 2.325228, 0.634803, 0.479261, 4.161286, 3.981547, 2.087569, 0.874813, 1.000000, 
2400, 11.229, 1.499222, 0.401340, 0.401340, 3.436177, 3.388389, 1.729827, 0.890860, 1.000000, 
9216, 13.170, 1.310052, 0.497113, 0.497113, 3.265867, 3.251146, 1.581056, 0.913065, 1.000000, 
