size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 176512.000000, 907776.000000, 1021248.000000, 94560.000000, 63040.000000, 138688.000000, 365632.000000, 302592.000000, 
160, 7.322, 103744.000000, 538172.000000, 622464.000000, 45388.000000, 42146.000000, 71324.000000, 178310.000000, 155616.000000, 
192, 7.585, 86432.000000, 442964.000000, 502386.000000, 43216.000000, 43216.000000, 70226.000000, 186369.000000, 153957.000000, 
384, 8.585, 37824.000000, 206850.000000, 239946.000000, 21276.000000, 14184.000000, 33096.000000, 82740.000000, 69738.000000, 
480, 8.907, 24570.000000, 61425.000000, 114345.000000, 18900.000000, 13230.000000, 30240.000000, 73710.000000, 64260.000000, 
640, 9.322, 20790.000000, 119700.000000, 116550.000000, 8190.000000, 8190.000000, 15120.000000, 34650.000000, 27720.000000, 
768, 9.585, 15750.000000, 57750.000000, 98175.000000, 7875.000000, 7875.000000, 15225.000000, 35175.000000, 30975.000000, 
800, 9.644, 13608.000000, 49392.000000, 65520.000000, 7560.000000, 8064.000000, 15120.000000, 36288.000000, 31752.000000, 
2400, 11.229, 3836.000000, 14385.000000, 14385.000000, 1781.000000, 1781.000000, 3425.000000, 6439.000000, 5754.000000, 
9216, 13.170, 870.000000, 2250.000000, 2250.000000, 360.000000, 360.000000, 720.000000, 1230.000000, 1140.000000, 
