size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 7390.545200, 38055.904998, 42856.092250, 3742.593864, 2649.518278, 5835.885430, 15296.727301, 12530.737647, 
160, 7.322, 8000.854305, 41816.878017, 48526.472749, 3358.180816, 3220.811559, 5427.555353, 13907.198196, 11910.719064, 
192, 7.585, 8137.470937, 43001.689367, 48514.081641, 4192.883104, 4008.484588, 6736.866483, 17893.694637, 14864.458735, 
384, 8.585, 8236.011487, 45233.395383, 52634.487123, 4598.585543, 3028.081876, 7198.854629, 18001.768886, 15082.238922, 
480, 8.907, 6748.447222, 17244.803283, 32326.881611, 5242.304669, 3548.518356, 8405.082524, 20926.133007, 18233.609143, 
640, 9.322, 8231.988907, 47415.810764, 46310.391111, 3066.686226, 3201.555396, 5835.393718, 13696.710204, 10974.237174, 
768, 9.585, 7492.500786, 28119.237530, 48028.579368, 3706.204293, 3859.382391, 7369.043753, 17147.928859, 14967.589123, 
800, 9.644, 6927.037696, 25373.445282, 33608.300547, 3870.726498, 4045.415505, 7715.748343, 18411.845738, 16107.081255, 
2400, 11.229, 6855.647644, 25609.664571, 0.000000, 2991.160632, 3033.335184, 5941.747593, 11537.381071, 10278.018611, 
9216, 13.170, 6864.645218, 18090.446070, 0.000000, 2753.615768, 2766.114455, 5687.963391, 9849.318184, 8993.006165, 
