size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.150981, 0.150793, 0.150641, 0.159720, 0.150409, 0.150230, 0.151102, 0.152653, 
160, 7.322, 0.151905, 0.150770, 0.150273, 0.158337, 0.153298, 0.153949, 0.150204, 0.153060, 
192, 7.585, 0.154682, 0.150016, 0.150808, 0.150102, 0.157007, 0.151808, 0.151680, 0.150836, 
384, 8.585, 0.151398, 0.150753, 0.150284, 0.152523, 0.154419, 0.151559, 0.151520, 0.152431, 
480, 8.907, 0.155657, 0.152284, 0.151224, 0.154137, 0.159397, 0.153818, 0.150593, 0.150673, 
640, 9.322, 0.150673, 0.150611, 0.150148, 0.159331, 0.152619, 0.154585, 0.150929, 0.150697, 
768, 9.585, 0.154741, 0.151182, 0.150471, 0.156413, 0.150205, 0.152089, 0.150999, 0.152339, 
800, 9.644, 0.151561, 0.150182, 0.150407, 0.150685, 0.153790, 0.151187, 0.152057, 0.152088, 
2400, 11.229, 0.150791, 0.151374, 0.151374, 0.160461, 0.158230, 0.155343, 0.150403, 0.150871, 
9216, 13.170, 0.153825, 0.150959, 0.150959, 0.158681, 0.157964, 0.153639, 0.151574, 0.153860, 
