size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.003000, 0.034000, 0.302000, 0.001000, 0.001000, 0.002000, 0.000000, 0.000000, 
4, 2.000, 0.001000, 0.028000, 0.305000, 0.001000, 0.001000, 0.001000, 0.000000, 0.000000, 
8, 3.000, 0.001000, 0.036000, 0.324000, 0.001000, 0.002000, 0.002000, 0.000000, 0.000000, 
16, 4.000, 0.001000, 0.035000, 0.356000, 0.000000, 0.002000, 0.001000, 0.002000, 0.001000, 
32, 5.000, 0.002000, 0.149000, 7.764000, 0.000000, 0.002000, 0.001000, 0.002000, 0.001000, 
64, 6.000, 0.002000, 0.032000, 25.979000, 0.001000, 0.004000, 0.002000, 0.001000, 0.002000, 
128, 7.000, 0.003000, 0.064000, 48.869000, 0.002000, 0.013000, 0.003000, 0.004000, 0.002000, 
256, 8.000, 0.006000, 0.059000, 77.573000, 0.001000, 0.012000, 0.002000, 0.003000, 0.003000, 
512, 9.000, 0.010000, 0.065000, 110.011000, 0.002000, 0.022000, 0.003000, 0.005000, 0.005000, 
1024, 10.000, 0.019000, 0.054000, 143.646000, 0.004000, 0.060000, 0.003000, 0.026000, 0.008000, 
2048, 11.000, 0.034000, 0.066000, 184.967000, 0.024000, 0.105000, 0.004000, 0.034000, 0.015000, 
4096, 12.000, 0.098000, 0.059000, 0.059000, 0.029000, 0.198000, 0.021000, 0.046000, 0.039000, 
8192, 13.000, 0.189000, 0.127000, 0.127000, 0.040000, 0.370000, 0.059000, 0.081000, 0.075000, 
16384, 14.000, 0.334000, 0.183000, 0.183000, 0.062000, 0.681000, 0.104000, 0.148000, 0.149000, 
32768, 15.000, 0.629000, 0.235000, 0.235000, 0.104000, 1.288000, 0.205000, 0.257000, 0.253000, 
65536, 16.000, 1.205000, 0.321000, 0.321000, 0.206000, 2.529000, 0.361000, 0.464000, 0.464000, 
131072, 17.000, 2.399000, 0.525000, 0.525000, 0.367000, 5.018000, 0.729000, 0.888000, 0.889000, 
262144, 18.000, 4.714000, 0.976000, 0.976000, 0.599000, 10.087000, 1.366000, 1.759000, 1.784000, 
524288, 19.000, 9.572000, 3.590000, 3.590000, 1.229000, 19.977000, 3.644000, 3.828000, 3.914000, 
1048576, 20.000, 21.178000, 6.182000, 6.182000, 3.110000, 40.298000, 8.164000, 8.447000, 9.246000, 
2097152, 21.000, 48.729000, 9.278000, 9.278000, 7.462000, 90.708000, 18.011000, 21.986000, 18.530000, 
