size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
4, 2.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
8, 3.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
16, 4.000, 1.833179, 0.924606, 0.913017, 2.676133, 1.883587, 2.304964, 0.818349, 1.000000, 
32, 5.000, 1.994536, 0.827329, 0.394545, 2.340964, 3.349779, 2.026457, 0.847323, 1.000000, 
64, 6.000, 2.070539, 0.446765, 0.390143, 2.777698, 2.962457, 2.196535, 0.824791, 1.000000, 
128, 7.000, 2.045961, 0.441722, 0.373318, 3.331813, 4.711209, 2.142752, 0.824632, 1.000000, 
256, 8.000, 2.309362, 0.464476, 0.398937, 3.568843, 3.685324, 2.213968, 0.827619, 1.000000, 
512, 9.000, 2.279432, 0.416493, 0.375035, 3.192865, 4.853086, 2.049661, 0.851098, 1.000000, 
1024, 10.000, 2.708491, 0.468751, 0.415321, 3.992445, 3.984984, 2.075445, 0.854467, 1.000000, 
2048, 11.000, 2.187233, 0.412201, 0.387915, 3.349158, 4.407291, 1.789202, 0.869924, 1.000000, 
4096, 12.000, 2.245209, 0.514194, 0.514194, 3.017811, 3.085720, 1.595657, 0.936803, 1.000000, 
8192, 13.000, 2.005301, 0.650539, 0.650539, 2.973031, 3.477248, 1.473796, 0.870748, 1.000000, 
16384, 14.000, 2.491850, 0.793105, 0.793105, 3.245756, 3.213652, 1.618047, 0.913540, 1.000000, 
32768, 15.000, 2.006040, 0.675177, 0.675177, 2.838577, 3.744239, 1.407537, 0.921799, 1.000000, 
65536, 16.000, 2.299869, 0.827917, 0.827917, 3.180475, 3.570972, 1.445840, 0.904232, 1.000000, 
131072, 17.000, 1.970048, 0.730304, 0.730304, 2.717800, 3.820124, 1.439165, 0.911668, 1.000000, 
262144, 18.000, 2.306998, 0.837312, 0.837312, 2.984996, 3.794313, 1.580041, 0.933362, 1.000000, 
524288, 19.000, 1.699628, 1.503857, 1.503857, 2.231953, 5.363548, 1.363690, 0.939232, 1.000000, 
1048576, 20.000, 1.449268, 1.566347, 1.566347, 1.783734, 4.495203, 1.199524, 0.947856, 1.000000, 
2097152, 21.000, 1.462575, 2.884432, 2.884432, 2.057136, 6.867325, 1.274009, 0.953175, 1.000000, 
