size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 5455434.000000, 9092390.000000, 12729346.000000, 16366302.000000, 9092390.000000, 3636956.000000, 0.000000, 0.000000, 
4, 2.000, 2727714.000000, 6364666.000000, 9092380.000000, 12274713.000000, 6819285.000000, 2273095.000000, 0.000000, 0.000000, 
8, 3.000, 1212312.000000, 3940014.000000, 5152326.000000, 6061560.000000, 1666929.000000, 1363851.000000, 0.000000, 0.000000, 
16, 4.000, 1193367.000000, 2329907.000000, 2329907.000000, 795578.000000, 1136540.000000, 966059.000000, 2614042.000000, 2159426.000000, 
32, 5.000, 500060.000000, 1227420.000000, 2545760.000000, 431870.000000, 318220.000000, 500060.000000, 1181960.000000, 1000120.000000, 
64, 6.000, 303072.000000, 1373295.000000, 1572186.000000, 227304.000000, 208362.000000, 284130.000000, 748209.000000, 615615.000000, 
128, 7.000, 146124.000000, 673794.000000, 795564.000000, 89298.000000, 64944.000000, 142065.000000, 361251.000000, 300366.000000, 
256, 8.000, 67450.000000, 330150.000000, 385175.000000, 44375.000000, 42600.000000, 71000.000000, 186375.000000, 154425.000000, 
512, 9.000, 29982.000000, 160956.000000, 178314.000000, 21303.000000, 14202.000000, 33138.000000, 78900.000000, 67065.000000, 
1024, 10.000, 12780.000000, 72775.000000, 82005.000000, 8875.000000, 8875.000000, 16685.000000, 40115.000000, 34080.000000, 
2048, 11.000, 6279.000000, 32683.000000, 34776.000000, 4025.000000, 3059.000000, 7567.000000, 15617.000000, 13524.000000, 
4096, 12.000, 2555.000000, 11023.000000, 11023.000000, 1898.000000, 1898.000000, 3577.000000, 6059.000000, 5694.000000, 
8192, 13.000, 1190.000000, 3638.000000, 3638.000000, 816.000000, 680.000000, 1632.000000, 2720.000000, 2380.000000, 
16384, 14.000, 495.000000, 1560.000000, 1560.000000, 390.000000, 390.000000, 765.000000, 1350.000000, 1230.000000, 
32768, 15.000, 252.000000, 742.000000, 742.000000, 182.000000, 140.000000, 357.000000, 546.000000, 504.000000, 
65536, 16.000, 108.000000, 294.000000, 294.000000, 78.000000, 69.000000, 168.000000, 270.000000, 243.000000, 
131072, 17.000, 50.000000, 134.000000, 134.000000, 36.000000, 26.000000, 68.000000, 108.000000, 98.000000, 
262144, 18.000, 22.000000, 61.000000, 61.000000, 17.000000, 14.000000, 33.000000, 55.000000, 51.000000, 
524288, 19.000, 10.000000, 11.000000, 11.000000, 8.000000, 4.000000, 12.000000, 18.000000, 17.000000, 
1048576, 20.000, 4.000000, 4.000000, 4.000000, 4.000000, 2.000000, 5.000000, 6.000000, 6.000000, 
2097152, 21.000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 3.000000, 3.000000, 
