size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 497.454476, 1037.861130, 1659.898419, 2153.815035, 1154.244765, 366.071403, 0.000000, 0.000000, 
4, 2.000, 1322.487925, 3186.974031, 4768.022234, 6501.049593, 3423.679586, 1195.484906, 0.000000, 0.000000, 
8, 3.000, 1847.696245, 6154.108321, 8109.535814, 9533.315421, 2435.917801, 2115.276555, 0.000000, 0.000000, 
16, 4.000, 4919.928110, 9754.559418, 9878.373501, 3370.200688, 4788.266737, 3912.927491, 11021.139145, 9019.099156, 
32, 5.000, 5332.373621, 12855.425946, 26956.731215, 4543.280010, 3175.036324, 5248.389594, 12552.009770, 10635.614399, 
64, 6.000, 7542.769147, 34957.096550, 40030.462752, 5622.494943, 5271.824525, 7110.100878, 18935.134017, 15617.520447, 
128, 7.000, 8653.591191, 40081.489812, 47425.889304, 5313.909769, 3758.061483, 8262.702689, 21470.087756, 17705.086378, 
256, 8.000, 9065.515137, 45073.174634, 52477.973363, 5866.177819, 5680.739680, 9456.016336, 25295.637998, 20935.379238, 
512, 9.000, 8998.700970, 49249.342488, 54693.468236, 6424.318165, 4226.589165, 10007.399320, 24100.705976, 20511.978548, 
1024, 10.000, 8579.036731, 49570.359530, 55947.019868, 5820.007557, 5830.911272, 11195.785225, 27193.729478, 23236.157349, 
2048, 11.000, 9241.086562, 49035.492065, 52105.252068, 6035.115744, 4586.138530, 11296.844003, 23234.543161, 20212.339087, 
4096, 12.000, 8255.328548, 36047.110922, 0.000000, 6141.937047, 6006.728221, 11616.027273, 19785.409876, 18535.149376, 
8192, 13.000, 8364.645858, 25783.794173, 0.000000, 5641.879139, 4823.798834, 11381.145439, 19263.244976, 16773.354334, 
16384, 14.000, 7534.398163, 23672.353432, 0.000000, 5784.383002, 5842.066286, 11603.184595, 20551.768079, 18774.911992, 
32768, 15.000, 8147.276195, 24206.540338, 0.000000, 5757.652056, 4364.937297, 11611.553809, 17730.219406, 16343.896920, 
65536, 16.000, 7382.027534, 20506.701434, 0.000000, 5338.075683, 4754.353003, 11742.485535, 18775.483785, 16977.763208, 
131072, 17.000, 7374.659933, 19894.061805, 0.000000, 5345.599360, 3803.079024, 10094.888704, 15936.122060, 14528.092824, 
262144, 18.000, 6907.017798, 19030.354512, 0.000000, 5338.164492, 4199.556779, 10084.812311, 17072.392493, 15934.328224, 
524288, 19.000, 6350.792457, 7177.323115, 0.000000, 4836.047504, 2012.449078, 7915.143553, 11492.164461, 10793.801047, 
1048576, 20.000, 5312.372472, 4915.363205, 0.000000, 4316.282133, 1712.736791, 6418.569347, 8122.566860, 7699.172745, 
2097152, 21.000, 4952.426105, 2511.186935, 0.000000, 3521.032320, 1054.746266, 5685.539892, 7599.207183, 7243.293787, 
