size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.219334, 0.175214, 0.153375, 0.151975, 0.157547, 0.198702, 0.000000, 0.000000, 
4, 2.000, 0.165005, 0.159767, 0.152556, 0.151049, 0.159344, 0.152112, 0.000000, 0.000000, 
8, 3.000, 0.157469, 0.153654, 0.152482, 0.152599, 0.164235, 0.154743, 0.000000, 0.000000, 
16, 4.000, 0.155237, 0.152866, 0.150950, 0.151080, 0.151910, 0.158009, 0.151798, 0.153234, 
32, 5.000, 0.150045, 0.152766, 0.151102, 0.152091, 0.160361, 0.152446, 0.150664, 0.150456, 
64, 6.000, 0.154293, 0.150855, 0.150815, 0.155242, 0.151771, 0.153452, 0.151735, 0.151366, 
128, 7.000, 0.151298, 0.150623, 0.150303, 0.150569, 0.154840, 0.154054, 0.150759, 0.152006, 
256, 8.000, 0.152377, 0.150011, 0.150318, 0.154922, 0.153580, 0.153773, 0.150894, 0.151066, 
512, 9.000, 0.153530, 0.150598, 0.150232, 0.152801, 0.154836, 0.152587, 0.150855, 0.150661, 
1024, 10.000, 0.152543, 0.150335, 0.150094, 0.156151, 0.155859, 0.152606, 0.151056, 0.150188, 
2048, 11.000, 0.153070, 0.150153, 0.150356, 0.150246, 0.150264, 0.150900, 0.151421, 0.150734, 
4096, 12.000, 0.152124, 0.150304, 0.150304, 0.151891, 0.155310, 0.151357, 0.150521, 0.150995, 
8192, 13.000, 0.151507, 0.150262, 0.150262, 0.154028, 0.150125, 0.152710, 0.150374, 0.151109, 
16384, 14.000, 0.150697, 0.151158, 0.151158, 0.154652, 0.153125, 0.151228, 0.150672, 0.150271, 
32768, 15.000, 0.152030, 0.150665, 0.150665, 0.155370, 0.157649, 0.151119, 0.151363, 0.151571, 
65536, 16.000, 0.153408, 0.150332, 0.150332, 0.153218, 0.152180, 0.150020, 0.150790, 0.150081, 
131072, 17.000, 0.151073, 0.150086, 0.150086, 0.150060, 0.152334, 0.150095, 0.151008, 0.150306, 
262144, 18.000, 0.150295, 0.151250, 0.151250, 0.150269, 0.157303, 0.154404, 0.152013, 0.151025, 
524288, 19.000, 0.156854, 0.152670, 0.152670, 0.164787, 0.197997, 0.151024, 0.156025, 0.156891, 
1048576, 20.000, 0.157907, 0.170661, 0.170661, 0.194348, 0.244889, 0.163366, 0.154913, 0.163432, 
2097152, 21.000, 0.177853, 0.175376, 0.175376, 0.250155, 0.417543, 0.154920, 0.173861, 0.182404, 
