size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.008000, 2.279000, 130.564000, 0.006000, 0.024000, 0.003000, 0.002000, 0.001000, 
160, 7.322, 0.002000, 2.564000, 232.862000, 0.001000, 0.010000, 0.002000, 0.003000, 0.002000, 
192, 7.585, 0.002000, 2.109000, 224.172000, 0.002000, 0.021000, 0.002000, 0.002000, 0.002000, 
384, 8.585, 0.003000, 2.516000, 368.857000, 0.001000, 0.019000, 0.002000, 0.003000, 0.002000, 
480, 8.907, 0.004000, 4.830000, 653.916000, 0.002000, 0.021000, 0.003000, 0.004000, 0.003000, 
640, 9.322, 0.006000, 4.128000, 524.243000, 0.003000, 0.033000, 0.003000, 0.004000, 0.004000, 
768, 9.585, 0.008000, 4.056000, 529.312000, 0.003000, 0.037000, 0.003000, 0.005000, 0.004000, 
800, 9.644, 0.008000, 5.488000, 524.997000, 0.003000, 0.037000, 0.002000, 0.005000, 0.005000, 
2400, 11.229, 0.019000, 8.809000, 8.809000, 0.012000, 0.134000, 0.005000, 0.015000, 0.014000, 
9216, 13.170, 0.084000, 6.091000, 6.091000, 0.042000, 0.554000, 0.049000, 0.053000, 0.052000, 
