size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 1.812496, 1.366146, 0.734969, 2.881955, 3.020335, 2.197469, 0.878113, 1.000000, 
160, 7.322, 1.662292, 0.657714, 0.543852, 3.942566, 5.332644, 2.313457, 0.865993, 1.000000, 
192, 7.585, 1.969388, 1.010569, 0.816588, 3.969432, 5.352555, 2.332932, 0.871186, 1.000000, 
384, 8.585, 2.219940, 1.004666, 0.799719, 3.990229, 4.176981, 2.832391, 0.872589, 1.000000, 
480, 8.907, 2.528488, 1.048267, 0.972987, 3.786244, 3.892604, 3.029375, 0.904315, 1.000000, 
640, 9.322, 2.002521, 0.853485, 0.710921, 4.260562, 6.215737, 2.892531, 0.879578, 1.000000, 
768, 9.585, 2.525335, 1.099542, 0.843045, 4.397892, 6.308471, 2.902673, 0.899793, 1.000000, 
800, 9.644, 2.697773, 0.913624, 0.798240, 4.466921, 6.374698, 2.956188, 0.891551, 1.000000, 
2400, 11.229, 1.837849, 0.729319, 0.729319, 4.258167, 5.416185, 2.751776, 0.909207, 1.000000, 
9216, 13.170, 1.362381, 0.551279, 0.551279, 3.474654, 4.032519, 2.342169, 0.914920, 1.000000, 
