size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 292491.000000, 381510.000000, 699435.000000, 178038.000000, 178038.000000, 241623.000000, 584982.000000, 508680.000000, 
160, 7.322, 183120.000000, 457800.000000, 549360.000000, 78480.000000, 58860.000000, 130800.000000, 346620.000000, 300840.000000, 
192, 7.585, 152600.000000, 299750.000000, 370600.000000, 76300.000000, 59950.000000, 130800.000000, 348800.000000, 305200.000000, 
384, 8.585, 66752.000000, 147808.000000, 185952.000000, 38144.000000, 35760.000000, 52448.000000, 171648.000000, 150192.000000, 
480, 8.907, 51489.000000, 122048.000000, 129676.000000, 34326.000000, 34326.000000, 41954.000000, 141118.000000, 127769.000000, 
640, 9.322, 39401.000000, 90241.000000, 109306.000000, 19065.000000, 12710.000000, 26691.000000, 87699.000000, 77531.000000, 
768, 9.585, 28593.000000, 64599.000000, 84720.000000, 16944.000000, 11649.000000, 25416.000000, 79425.000000, 72012.000000, 
800, 9.644, 26442.000000, 78309.000000, 89496.000000, 16272.000000, 11187.000000, 24408.000000, 80343.000000, 71190.000000, 
2400, 11.229, 7756.000000, 19113.000000, 19113.000000, 3324.000000, 2770.000000, 5263.000000, 15235.000000, 13850.000000, 
9216, 13.170, 1708.000000, 4209.000000, 4209.000000, 671.000000, 610.000000, 1037.000000, 2562.000000, 2318.000000, 
