size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 5908.180626, 7838.519107, 14570.077428, 3715.726228, 3545.484537, 4873.134439, 12194.964887, 10708.563698, 
160, 7.322, 6978.064458, 17636.191683, 21328.531510, 2942.136063, 2175.195108, 5013.949334, 13394.520207, 11599.567388, 
192, 7.585, 7393.680493, 14408.729868, 17831.498247, 3668.282097, 2720.387882, 6241.504176, 16714.001484, 14561.028771, 
384, 8.585, 7324.322909, 16183.992186, 20331.469060, 4074.819565, 3892.649448, 5740.533327, 18633.526006, 16259.467225, 
480, 8.907, 7102.338732, 17131.324299, 18456.780529, 4743.003011, 4613.403313, 5928.012660, 19858.296253, 17958.174836, 
640, 9.322, 7633.604975, 17910.685329, 21502.493102, 3587.885793, 2459.322541, 5284.797786, 17379.447344, 15286.345328, 
768, 9.585, 6895.385247, 15836.834638, 20655.154197, 3959.450959, 2760.273713, 5999.049627, 19352.285418, 17413.275698, 
800, 9.644, 6771.230435, 19994.194868, 22884.589015, 4089.459462, 2865.569316, 6179.278132, 20489.249528, 18267.343089, 
2400, 11.229, 6769.585524, 17059.224071, 0.000000, 2921.823697, 2297.095955, 4521.279898, 13683.859705, 12441.531109, 
9216, 13.170, 6806.094790, 16819.873415, 0.000000, 2668.566248, 2299.421639, 3958.911070, 10134.676816, 9272.460576, 
