size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.156478, 0.153839, 0.151733, 0.151448, 0.158720, 0.156720, 0.151620, 0.150144, 
160, 7.322, 0.153715, 0.152050, 0.150873, 0.156247, 0.158503, 0.152807, 0.151580, 0.151918, 
192, 7.585, 0.150286, 0.151481, 0.151336, 0.151456, 0.160466, 0.152596, 0.151957, 0.152622, 
384, 8.585, 0.150223, 0.150540, 0.150755, 0.154297, 0.151423, 0.150597, 0.151839, 0.152258, 
480, 8.907, 0.154971, 0.152292, 0.150190, 0.154706, 0.159052, 0.151287, 0.151907, 0.152090, 
640, 9.322, 0.153969, 0.150296, 0.151639, 0.158509, 0.154165, 0.150658, 0.150527, 0.151296, 
768, 9.585, 0.152624, 0.150134, 0.150966, 0.157508, 0.155331, 0.155936, 0.151059, 0.152211, 
800, 9.644, 0.150639, 0.151084, 0.150859, 0.153492, 0.150596, 0.152372, 0.151263, 0.150333, 
2400, 11.229, 0.154380, 0.150968, 0.150968, 0.153293, 0.162486, 0.156851, 0.150020, 0.150000, 
9216, 13.170, 0.152295, 0.151863, 0.151863, 0.152595, 0.160993, 0.158964, 0.153414, 0.151710, 
