size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.003000, 2.137000, 0.016000, 0.001000, 0.005000, 0.004000, 0.000000, 0.000000, 
4, 2.000, 0.001000, 0.020000, 0.015000, 0.001000, 0.002000, 0.001000, 0.000000, 0.000000, 
8, 3.000, 0.001000, 0.017000, 0.016000, 0.003000, 0.002000, 0.001000, 0.000000, 0.000000, 
16, 4.000, 0.001000, 0.026000, 0.018000, 0.000000, 0.002000, 0.001000, 0.000000, 0.000000, 
32, 5.000, 0.001000, 0.308000, 7.124000, 0.001000, 0.003000, 0.001000, 0.002000, 0.001000, 
64, 6.000, 0.001000, 0.422000, 21.183000, 0.001000, 0.004000, 0.002000, 0.002000, 0.000000, 
128, 7.000, 0.002000, 0.484000, 55.709000, 0.001000, 0.007000, 0.001000, 0.001000, 0.001000, 
256, 8.000, 0.003000, 1.049000, 121.633000, 0.002000, 0.013000, 0.002000, 0.002000, 0.001000, 
512, 9.000, 0.004000, 1.200000, 185.193000, 0.002000, 0.051000, 0.002000, 0.003000, 0.002000, 
1024, 10.000, 0.008000, 1.884000, 284.521000, 0.003000, 0.033000, 0.003000, 0.005000, 0.005000, 
2048, 11.000, 0.014000, 2.237000, 371.570000, 0.024000, 0.099000, 0.003000, 0.025000, 0.007000, 
4096, 12.000, 0.028000, 2.546000, 2.546000, 0.029000, 0.161000, 0.005000, 0.032000, 0.013000, 
8192, 13.000, 0.077000, 2.954000, 2.954000, 0.039000, 0.289000, 0.024000, 0.046000, 0.024000, 
16384, 14.000, 0.147000, 3.288000, 3.288000, 0.062000, 0.570000, 0.013000, 0.072000, 0.066000, 
32768, 15.000, 0.265000, 3.759000, 3.759000, 0.116000, 1.083000, 0.091000, 0.135000, 0.121000, 
65536, 16.000, 0.484000, 4.343000, 4.343000, 0.187000, 2.116000, 0.173000, 0.227000, 0.226000, 
131072, 17.000, 0.919000, 5.091000, 5.091000, 0.323000, 4.216000, 0.341000, 0.413000, 0.411000, 
262144, 18.000, 1.802000, 6.295000, 6.295000, 0.605000, 8.373000, 0.682000, 0.777000, 0.776000, 
524288, 19.000, 3.766000, 7.322000, 7.322000, 1.188000, 16.683000, 1.408000, 1.525000, 1.556000, 
1048576, 20.000, 7.962000, 15.037000, 15.037000, 2.619000, 33.401000, 3.519000, 3.287000, 3.517000, 
2097152, 21.000, 18.665000, 29.421000, 29.421000, 6.841000, 68.551000, 8.371000, 8.118000, 8.730000, 
