size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
4, 2.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
8, 3.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
16, 4.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
32, 5.000, 1.901455, 1.235956, 0.710491, 2.076367, 1.553174, 1.929056, 0.888083, 1.000000, 
64, 6.000, 1.840791, 1.509000, 0.969245, 2.595342, 3.488482, 1.809769, 0.869147, 1.000000, 
128, 7.000, 2.155332, 1.157406, 0.880948, 2.873829, 3.006155, 2.199197, 0.874545, 1.000000, 
256, 8.000, 2.405940, 1.318912, 0.938713, 3.978490, 5.373744, 2.332981, 0.864731, 1.000000, 
512, 9.000, 2.784584, 1.288745, 0.897777, 3.985973, 4.169604, 2.845244, 0.874459, 1.000000, 
1024, 10.000, 2.876046, 1.371773, 0.959123, 3.999502, 5.864644, 2.711022, 0.906514, 1.000000, 
2048, 11.000, 3.075988, 1.281463, 0.970622, 4.566880, 4.579152, 2.974539, 0.891467, 1.000000, 
4096, 12.000, 3.639942, 1.203424, 1.203424, 4.184242, 5.465286, 2.726865, 0.895674, 1.000000, 
8192, 13.000, 2.350326, 0.953105, 0.953105, 2.991153, 3.100575, 2.213436, 0.911199, 1.000000, 
16384, 14.000, 2.572990, 0.949442, 0.949442, 3.652708, 4.019901, 2.344020, 0.906583, 1.000000, 
32768, 15.000, 2.473307, 1.036298, 1.036298, 3.152358, 3.184531, 2.323151, 0.906898, 1.000000, 
65536, 16.000, 2.293228, 1.015468, 1.015468, 2.806544, 3.679221, 2.094568, 0.904440, 1.000000, 
131072, 17.000, 2.268265, 1.034719, 1.034719, 2.880304, 3.169409, 2.146540, 0.903051, 1.000000, 
262144, 18.000, 2.266676, 0.996300, 0.996300, 2.732246, 3.836737, 2.026032, 0.909112, 1.000000, 
524288, 19.000, 2.219755, 0.954813, 0.954813, 2.737229, 3.700849, 2.028161, 0.926931, 1.000000, 
1048576, 20.000, 1.779555, 0.802430, 0.802430, 2.157892, 4.667008, 1.825553, 0.912868, 1.000000, 
2097152, 21.000, 1.533815, 0.992105, 0.992105, 1.562699, 3.666602, 1.527416, 0.906104, 1.000000, 
