size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 6535862.000000, 13071724.000000, 16339655.000000, 16339655.000000, 6535862.000000, 3267931.000000, 0.000000, 0.000000, 
4, 2.000, 4084910.000000, 10620766.000000, 10620766.000000, 13888694.000000, 4901892.000000, 2450946.000000, 0.000000, 0.000000, 
8, 3.000, 1633962.000000, 7625156.000000, 7625156.000000, 7625156.000000, 4084905.000000, 1361635.000000, 0.000000, 0.000000, 
16, 4.000, 1531830.000000, 4391246.000000, 4391246.000000, 3778514.000000, 1225464.000000, 1327586.000000, 0.000000, 0.000000, 
32, 5.000, 694433.000000, 1102923.000000, 1879054.000000, 653584.000000, 857829.000000, 694433.000000, 1511413.000000, 1348017.000000, 
64, 6.000, 493580.000000, 595700.000000, 919080.000000, 357420.000000, 272320.000000, 493580.000000, 1038220.000000, 902060.000000, 
128, 7.000, 240702.000000, 444934.000000, 583520.000000, 182350.000000, 175056.000000, 233408.000000, 583520.000000, 510580.000000, 
256, 8.000, 127640.000000, 229752.000000, 322291.000000, 76584.000000, 57438.000000, 130831.000000, 347819.000000, 299954.000000, 
512, 9.000, 53884.000000, 114858.000000, 164488.000000, 38286.000000, 35450.000000, 52466.000000, 170160.000000, 148890.000000, 
1024, 10.000, 25520.000000, 52954.000000, 75922.000000, 18502.000000, 12760.000000, 26796.000000, 80388.000000, 72732.000000, 
2048, 11.000, 11310.000000, 27260.000000, 35960.000000, 7830.000000, 7830.000000, 11890.000000, 39150.000000, 34800.000000, 
4096, 12.000, 4224.000000, 12672.000000, 12672.000000, 3696.000000, 2904.000000, 5676.000000, 17028.000000, 15180.000000, 
8192, 13.000, 2196.000000, 5307.000000, 5307.000000, 1708.000000, 1647.000000, 2318.000000, 5551.000000, 5063.000000, 
16384, 14.000, 980.000000, 2660.000000, 2660.000000, 700.000000, 644.000000, 1092.000000, 2772.000000, 2520.000000, 
32768, 15.000, 455.000000, 1066.000000, 1066.000000, 351.000000, 351.000000, 481.000000, 1209.000000, 1105.000000, 
65536, 16.000, 204.000000, 450.000000, 450.000000, 168.000000, 126.000000, 222.000000, 504.000000, 456.000000, 
131072, 17.000, 92.000000, 200.000000, 200.000000, 72.000000, 66.000000, 96.000000, 228.000000, 206.000000, 
262144, 18.000, 41.000000, 93.000000, 93.000000, 34.000000, 24.000000, 46.000000, 101.000000, 92.000000, 
524288, 19.000, 20.000000, 45.000000, 45.000000, 16.000000, 12.000000, 21.000000, 46.000000, 43.000000, 
1048576, 20.000, 9.000000, 19.000000, 19.000000, 7.000000, 4.000000, 8.000000, 16.000000, 15.000000, 
2097152, 21.000, 3.000000, 5.000000, 5.000000, 3.000000, 2.000000, 3.000000, 5.000000, 5.000000, 
