size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 315.076963, 813.317737, 885.397408, 1022.026896, 271.162714, 176.334189, 0.000000, 0.000000, 
4, 2.000, 916.217520, 2803.329968, 2823.564160, 3612.966280, 1289.504982, 627.823893, 0.000000, 0.000000, 
8, 3.000, 1257.079185, 5904.108401, 5939.481620, 5976.256915, 3050.314559, 1045.909719, 0.000000, 0.000000, 
16, 4.000, 3117.178051, 9190.612643, 9225.912415, 8047.042600, 2567.240018, 2693.879684, 0.000000, 0.000000, 
32, 5.000, 3702.211145, 5695.665982, 9908.009491, 3390.332181, 4532.392859, 3649.244594, 7926.748745, 7039.620868, 
64, 6.000, 6193.256958, 7555.000694, 11762.263623, 4392.679789, 3268.044253, 6299.429665, 13116.860454, 11400.517381, 
128, 7.000, 7050.079827, 13128.786843, 17248.755254, 5287.491424, 5054.726204, 6909.440660, 17374.977402, 15195.328599, 
256, 8.000, 8506.564269, 15517.537942, 21802.313770, 5144.181360, 3808.570245, 8772.554546, 23667.602916, 20466.080931, 
512, 9.000, 8143.570745, 17595.853054, 25258.452823, 5689.083346, 5438.521261, 7969.939343, 25931.886972, 22676.451807, 
1024, 10.000, 8592.592593, 18015.155019, 25765.953893, 6178.959109, 4213.855869, 9115.678549, 27261.179369, 24712.835964, 
2048, 11.000, 8462.309608, 20312.546472, 26817.804673, 5699.697557, 5684.452322, 8750.895809, 29198.930000, 26029.749256, 
4096, 12.000, 6824.871404, 20642.901686, 0.000000, 5937.062219, 4545.429903, 9110.247458, 27735.957582, 24842.426018, 
8192, 13.000, 7612.849563, 18773.185940, 0.000000, 5981.858865, 5770.802061, 8083.624599, 19636.451377, 17892.815122, 
16384, 14.000, 7452.309406, 20195.826713, 0.000000, 5249.393533, 4769.963705, 8180.281778, 21150.771810, 19174.905291, 
32768, 15.000, 7262.977397, 17334.411412, 0.000000, 5698.509671, 5640.862395, 7732.346054, 19807.595747, 17963.605093, 
65536, 16.000, 6937.455536, 15666.704296, 0.000000, 5668.525533, 4324.053046, 7595.401723, 17589.809351, 15909.082488, 
131072, 17.000, 6714.463784, 14719.213645, 0.000000, 5287.669673, 4805.376587, 7095.266185, 16865.466424, 15230.007300, 
262144, 18.000, 6369.170233, 14490.171770, 0.000000, 5283.977604, 3762.782525, 7125.629719, 15879.997867, 14436.855296, 
524288, 19.000, 6341.614836, 14742.981181, 0.000000, 5142.765248, 3803.661310, 6940.778914, 15186.378556, 14076.626421, 
1048576, 20.000, 5683.989135, 12605.229891, 0.000000, 4687.420653, 2167.318951, 5540.655610, 11080.359808, 10115.011126, 
2097152, 21.000, 4081.524356, 6310.061668, 0.000000, 4005.984573, 1707.368013, 4098.566687, 6908.872309, 6260.226413, 
