| input len | real FFTPack |real FFTWestim|real FFTWauto |  real  Green |  real   Kiss |  real Pocket | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx  Green |  cplx   Kiss |  cplx Pocket | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|       96  |       2613   |       3487   |       6276   |       1711   |       1592   |       2119   |       5926   |       5295   |       2860   |      10896   |      12421   |       1771   |       1039   |       2083   |       6697   |       5616   |
|      160  |       2898   |       5527   |       7130   |       1410   |        856   |       1988   |       6040   |       5368   |       3221   |      10724   |      12281   |       1608   |       1413   |       1853   |       6048   |       5124   |
|      192  |       3271   |       6660   |       7144   |       1753   |       1068   |       2430   |       7281   |       6546   |       3539   |       5456   |      13443   |       1993   |       1778   |       2280   |       7299   |       6272   |
|      384  |       2819   |       5979   |       8255   |       1935   |       1690   |       2407   |       8022   |       7228   |       3001   |       5725   |      13454   |       2157   |       1211   |       2404   |       7504   |       6362   |
|      480  |       2880   |       6373   |       8061   |       2499   |       2202   |       3128   |       9922   |       9053   |       2929   |       5967   |      10546   |       2796   |       1571   |       3093   |       9636   |       8113   |
|      640  |       3108   |       6987   |       7684   |       1671   |        945   |       2192   |       7117   |       6472   |       3328   |      11985   |      13011   |       1665   |       1500   |       2020   |       6499   |       5578   |
|      768  |       3236   |       5477   |       9049   |       2061   |       1171   |       2687   |       8754   |       7976   |       2816   |       8707   |      12947   |       2055   |       1855   |       2527   |       8006   |       6880   |
|      800  |       3030   |       5968   |       8241   |       2161   |       1227   |       2829   |       9186   |       8366   |       3174   |       8168   |       9246   |       2152   |       1952   |       2659   |       8360   |       7172   |
|     2400  |       3272   |       5880   |        n/a   |       1586   |        970   |       1978   |       5648   |       5540   |       3224   |       7421   |        n/a   |       1599   |       1400   |       1870   |       4911   |       4541   |
|     9216  |       2779   |       6781   |        n/a   |       1417   |        955   |       1719   |       4397   |       3994   |       2063   |       5500   |        n/a   |       1479   |       1282   |       1838   |       4612   |       4349   |
