| input len | real FFTPack |real FFTWestim|real FFTWauto |  real  Green |  real   Kiss |  real Pocket | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx  Green |  cplx   Kiss |  cplx Pocket | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|        2  |        167   |        428   |        429   |        499   |        129   |        100   |        n/a   |        n/a   |        265   |        479   |        799   |        948   |        542   |        167   |        n/a   |        n/a   |
|        4  |        556   |       1212   |       1254   |       1718   |        649   |        308   |        n/a   |        n/a   |        539   |       1481   |       2474   |       2920   |       1831   |        510   |        n/a   |        n/a   |
|        8  |        656   |       2522   |       2514   |       2836   |       1523   |        542   |        n/a   |        n/a   |        814   |       2957   |       3745   |       3506   |        936   |        919   |        n/a   |        n/a   |
|       16  |       1683   |       3993   |       3729   |       3378   |       1008   |       1218   |        n/a   |        n/a   |       2150   |       4611   |       4721   |       1713   |       2117   |       1537   |       5112   |       4219   |
|       32  |       1739   |       2793   |       4738   |       1727   |       1982   |       1663   |       3894   |       3521   |       1954   |       5612   |       8886   |       2220   |       1292   |       2036   |       6450   |       5449   |
|       64  |       2635   |       3844   |       5014   |       2202   |       1335   |       2640   |       6440   |       5740   |       3094   |       9214   |      11101   |       2520   |       2309   |       2584   |       8338   |       6807   |
|      128  |       2911   |       7176   |       7145   |       2430   |       2264   |       2961   |       7965   |       7266   |       3257   |      11430   |      13329   |       2557   |       1476   |       2935   |       9500   |       7977   |
|      256  |       3591   |       6097   |       8614   |       2477   |       1498   |       3459   |      10658   |       9537   |       3970   |      12292   |      13660   |       2798   |       2469   |       3202   |      10477   |       8834   |
|      512  |       3037   |       7608   |       8809   |       2696   |       2352   |       3375   |      11020   |       9950   |       3247   |      12365   |      14001   |       3013   |       1692   |       3328   |      10469   |       8869   |
|     1024  |       3067   |       8685   |       7005   |       2859   |       1627   |       3747   |      11585   |      10771   |       2809   |      12360   |      13015   |       2852   |       2580   |       3505   |      11152   |       9574   |
|     2048  |       2967   |       8562   |       8186   |       2752   |       2332   |       3607   |      12084   |      10951   |       3345   |      11786   |      12453   |       2987   |       1849   |       3398   |       9123   |       8420   |
|     4096  |       3116   |       8614   |        n/a   |       2889   |       1769   |       3664   |      10383   |      10178   |       2309   |       9616   |        n/a   |       2921   |       2559   |       3420   |       8960   |       8280   |
|     8192  |       2519   |       7406   |        n/a   |       2824   |       2359   |       3142   |       7910   |       7146   |       2679   |       7115   |        n/a   |       2731   |       1898   |       3362   |       8280   |       7701   |
|    16384  |       2609   |       6222   |        n/a   |       2679   |       1818   |       3261   |       8290   |       7528   |       2107   |       7257   |        n/a   |       2799   |       2418   |       3519   |       8981   |       8235   |
|    32768  |       2417   |       6421   |        n/a   |       2733   |       2268   |       3261   |       7938   |       7376   |       2326   |       7448   |        n/a   |       2739   |       1859   |       3447   |       8473   |       7921   |
|    65536  |       2585   |       6241   |        n/a   |       2664   |       1789   |       3319   |       8369   |       7776   |       1926   |       7182   |        n/a   |       2629   |       2102   |       3025   |       6203   |       5724   |
|   131072  |       2285   |       5323   |        n/a   |       2569   |       1915   |       2696   |       5333   |       5045   |       1549   |       5627   |        n/a   |       2534   |        909   |       1737   |       2305   |       2161   |
|   262144  |       1299   |       3591   |        n/a   |       2475   |        883   |       1479   |       2058   |       1882   |       1175   |       2367   |        n/a   |       1784   |        768   |       1455   |       1556   |       1441   |
|   524288  |       1002   |       1827   |        n/a   |       1706   |        733   |       1073   |       1280   |       1167   |       1252   |       1178   |        n/a   |       1719   |        501   |       1376   |       1418   |       1311   |
|  1048576  |        975   |       1484   |        n/a   |       1547   |        485   |       1029   |       1266   |       1143   |       1149   |       1225   |        n/a   |       1337   |        457   |       1401   |       1471   |       1368   |
|  2097152  |        909   |       1275   |        n/a   |        937   |        452   |        979   |       1234   |       1112   |       1122   |       1248   |        n/a   |        903   |        359   |       1248   |       1365   |       1288   |
