size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.010000, 0.121000, 100.448000, 0.005000, 0.067000, 0.010000, 0.006000, 0.006000, 
160, 7.322, 0.012000, 0.129000, 116.970000, 0.005000, 0.032000, 0.013000, 0.009000, 0.008000, 
192, 7.585, 0.014000, 0.492000, 148.971000, 0.005000, 0.035000, 0.016000, 0.008000, 0.009000, 
384, 8.585, 0.024000, 0.464000, 205.211000, 0.008000, 0.061000, 0.016000, 0.013000, 0.011000, 
480, 8.907, 0.029000, 0.446000, 335.040000, 0.007000, 0.061000, 0.021000, 0.013000, 0.011000, 
640, 9.322, 0.037000, 0.113000, 232.862000, 0.012000, 0.115000, 0.027000, 0.022000, 0.021000, 
768, 9.585, 0.042000, 0.727000, 270.818000, 0.013000, 0.117000, 0.022000, 0.022000, 0.020000, 
800, 9.644, 0.045000, 0.108000, 252.885000, 0.012000, 0.115000, 0.021000, 0.022000, 0.021000, 
2400, 11.229, 0.141000, 0.230000, 0.230000, 0.043000, 0.455000, 0.097000, 0.077000, 0.075000, 
9216, 13.170, 0.502000, 0.485000, 0.485000, 0.161000, 1.846000, 0.275000, 0.295000, 0.293000, 
