size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 1.963799, 0.515385, 0.452093, 3.171189, 5.403512, 2.696304, 0.838489, 1.000000, 
160, 7.322, 1.590701, 0.477832, 0.417236, 3.185869, 3.625293, 2.766052, 0.847257, 1.000000, 
192, 7.585, 1.772334, 1.149435, 0.466533, 3.146079, 3.527569, 2.751153, 0.859236, 1.000000, 
384, 8.585, 2.119696, 1.111314, 0.472864, 2.948739, 5.253069, 2.646305, 0.847785, 1.000000, 
480, 8.907, 2.769737, 1.359810, 0.769364, 2.902003, 5.164375, 2.622739, 0.842003, 1.000000, 
640, 9.322, 1.676354, 0.465440, 0.428724, 3.349680, 3.718797, 2.762108, 0.858286, 1.000000, 
768, 9.585, 2.443203, 0.790223, 0.531414, 3.348381, 3.708410, 2.722914, 0.859422, 1.000000, 
800, 9.644, 2.259194, 0.877969, 0.775662, 3.332791, 3.673742, 2.696815, 0.857868, 1.000000, 
2400, 11.229, 1.408637, 0.612004, 0.612004, 2.840239, 3.242830, 2.428726, 0.924778, 1.000000, 
9216, 13.170, 2.108368, 0.790863, 0.790863, 2.941653, 3.393379, 2.366233, 0.943113, 1.000000, 
