size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 70227.000000, 260100.000000, 296514.000000, 44217.000000, 26010.000000, 49419.000000, 161262.000000, 135252.000000, 
160, 7.322, 41447.000000, 137711.000000, 157766.000000, 21392.000000, 18718.000000, 24066.000000, 77546.000000, 66850.000000, 
192, 7.585, 36762.000000, 56814.000000, 139250.000000, 21166.000000, 18938.000000, 24508.000000, 75752.000000, 64612.000000, 
384, 8.585, 14123.000000, 26298.000000, 61362.000000, 10227.000000, 5844.000000, 11201.000000, 34577.000000, 29220.000000, 
480, 8.907, 10530.000000, 21060.000000, 37050.000000, 10140.000000, 5850.000000, 10920.000000, 33930.000000, 28470.000000, 
640, 9.322, 8580.000000, 30160.000000, 32760.000000, 4420.000000, 3900.000000, 5200.000000, 16380.000000, 14040.000000, 
768, 9.585, 5832.000000, 17928.000000, 26568.000000, 4320.000000, 3888.000000, 5184.000000, 16416.000000, 14040.000000, 
800, 9.644, 6240.000000, 16016.000000, 18096.000000, 4368.000000, 3952.000000, 5200.000000, 16432.000000, 14144.000000, 
2400, 11.229, 1848.000000, 4144.000000, 4144.000000, 896.000000, 784.000000, 1064.000000, 2744.000000, 2576.000000, 
9216, 13.170, 264.000000, 684.000000, 684.000000, 192.000000, 168.000000, 228.000000, 576.000000, 540.000000, 
