size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 2859.564152, 10895.925864, 12421.355485, 1770.821267, 1039.249875, 2082.702476, 6697.290371, 5615.606543, 
160, 7.322, 3221.399647, 10723.993032, 12281.494402, 1608.437878, 1413.479442, 1852.557935, 6048.080487, 5124.276520, 
192, 7.585, 3538.558267, 5456.167144, 13442.813126, 1993.449875, 1777.852742, 2279.604651, 7298.955773, 6271.513680, 
384, 8.585, 3001.279160, 5724.535804, 13453.726445, 2157.457606, 1211.063686, 2404.019775, 7504.010703, 6361.771546, 
480, 8.907, 2929.321714, 5966.573163, 10545.597174, 2795.796331, 1571.043976, 3093.491681, 9635.799700, 8113.451815, 
640, 9.322, 3327.541656, 11984.679752, 13010.909026, 1665.269160, 1499.979533, 2019.514425, 6499.181089, 5578.109073, 
768, 9.585, 2816.114256, 8706.918925, 12947.186250, 2054.846903, 1855.332499, 2526.848996, 8005.770333, 6880.361011, 
800, 9.644, 3174.366843, 8168.277469, 9245.717096, 2151.782179, 1952.110617, 2659.245529, 8359.662112, 7171.540586, 
2400, 11.229, 3223.997505, 7420.618433, 0.000000, 1598.975691, 1400.466990, 1869.883232, 4910.846474, 4541.479044, 
9216, 13.170, 2062.961526, 5499.641331, 0.000000, 1478.565172, 1281.749295, 1838.133162, 4611.815966, 4349.457533, 
