size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.155249, 0.150904, 0.150904, 0.157848, 0.158214, 0.150000, 0.152215, 0.152255, 
160, 7.322, 0.150728, 0.150438, 0.150490, 0.155809, 0.155137, 0.152187, 0.150206, 0.152832, 
192, 7.585, 0.151296, 0.151643, 0.150855, 0.154628, 0.155129, 0.156568, 0.151143, 0.150036, 
384, 8.585, 0.155128, 0.151444, 0.150358, 0.156270, 0.159079, 0.153599, 0.151902, 0.151416, 
480, 8.907, 0.153684, 0.150904, 0.150205, 0.155060, 0.159197, 0.150918, 0.150544, 0.150020, 
640, 9.322, 0.153833, 0.150138, 0.150218, 0.158352, 0.155119, 0.153618, 0.150363, 0.150164, 
768, 9.585, 0.152447, 0.151572, 0.151055, 0.154759, 0.154261, 0.151021, 0.150944, 0.150213, 
800, 9.644, 0.151659, 0.151274, 0.151002, 0.156612, 0.156190, 0.150864, 0.151650, 0.152160, 
2400, 11.229, 0.154473, 0.150496, 0.150496, 0.151012, 0.150865, 0.153346, 0.150582, 0.152860, 
9216, 13.170, 0.155324, 0.150955, 0.150955, 0.157611, 0.159086, 0.150551, 0.151592, 0.150690, 
