size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.010000, 0.057000, 0.518000, 0.001000, 0.003000, 0.004000, 0.000000, 0.000000, 
4, 2.000, 0.004000, 0.085000, 0.483000, 0.001000, 0.023000, 0.004000, 0.000000, 0.000000, 
8, 3.000, 0.002000, 0.086000, 0.495000, 0.004000, 0.005000, 0.006000, 0.000000, 0.000000, 
16, 4.000, 0.004000, 0.077000, 0.460000, 0.003000, 0.005000, 0.006000, 0.004000, 0.002000, 
32, 5.000, 0.006000, 0.193000, 9.730000, 0.004000, 0.012000, 0.007000, 0.003000, 0.002000, 
64, 6.000, 0.008000, 0.107000, 29.996000, 0.002000, 0.010000, 0.010000, 0.007000, 0.003000, 
128, 7.000, 0.011000, 0.128000, 52.150000, 0.004000, 0.023000, 0.010000, 0.006000, 0.006000, 
256, 8.000, 0.018000, 0.134000, 78.049000, 0.005000, 0.037000, 0.015000, 0.008000, 0.009000, 
512, 9.000, 0.030000, 0.125000, 105.012000, 0.007000, 0.063000, 0.017000, 0.013000, 0.014000, 
1024, 10.000, 0.055000, 0.114000, 141.547000, 0.012000, 0.116000, 0.023000, 0.023000, 0.020000, 
2048, 11.000, 0.107000, 0.112000, 203.862000, 0.024000, 0.225000, 0.034000, 0.040000, 0.039000, 
4096, 12.000, 0.209000, 0.128000, 0.128000, 0.044000, 0.444000, 0.094000, 0.077000, 0.077000, 
8192, 13.000, 0.444000, 0.301000, 0.301000, 0.081000, 0.882000, 0.158000, 0.150000, 0.150000, 
16384, 14.000, 0.889000, 0.347000, 0.347000, 0.160000, 1.761000, 0.265000, 0.295000, 0.295000, 
32768, 15.000, 1.778000, 0.445000, 0.445000, 0.314000, 3.526000, 0.517000, 0.587000, 0.586000, 
65536, 16.000, 3.525000, 0.634000, 0.634000, 0.627000, 7.046000, 1.019000, 1.185000, 1.186000, 
131072, 17.000, 7.131000, 1.107000, 1.107000, 1.247000, 14.097000, 2.175000, 2.364000, 2.347000, 
262144, 18.000, 14.382000, 2.286000, 2.286000, 2.510000, 28.209000, 4.676000, 4.708000, 4.711000, 
524288, 19.000, 28.845000, 6.439000, 6.439000, 4.967000, 56.404000, 9.730000, 9.422000, 9.411000, 
1048576, 20.000, 57.529000, 10.740000, 10.740000, 9.929000, 112.778000, 20.409000, 18.778000, 18.761000, 
2097152, 21.000, 115.176000, 16.493000, 16.493000, 19.851000, 247.313000, 39.577000, 49.371000, 37.853000, 
