size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
4, 2.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
8, 3.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
16, 4.000, 1.961863, 0.914831, 0.893701, 2.462212, 1.992376, 2.745425, 0.825243, 1.000000, 
32, 5.000, 2.789395, 0.970999, 0.613271, 2.455077, 4.216810, 2.676039, 0.844921, 1.000000, 
64, 6.000, 2.200257, 0.738796, 0.613216, 2.701113, 2.948435, 2.633962, 0.816450, 1.000000, 
128, 7.000, 2.449075, 0.697931, 0.598463, 3.119347, 5.404420, 2.718018, 0.839692, 1.000000, 
256, 8.000, 2.225000, 0.718672, 0.646680, 3.157697, 3.578172, 2.758508, 0.843151, 1.000000, 
512, 9.000, 2.731303, 0.717272, 0.633507, 2.943337, 5.240456, 2.665077, 0.847191, 1.000000, 
1024, 10.000, 3.407762, 0.774573, 0.735594, 3.356872, 3.710703, 2.731442, 0.858494, 1.000000, 
2048, 11.000, 2.517441, 0.714449, 0.676138, 2.818765, 4.555036, 2.478166, 0.922968, 1.000000, 
4096, 12.000, 3.585934, 0.861008, 0.861008, 2.834940, 3.235533, 2.421319, 0.924099, 1.000000, 
8192, 13.000, 2.874039, 1.082293, 1.082293, 2.819984, 4.057527, 2.290525, 0.930084, 1.000000, 
16384, 14.000, 3.907684, 1.134701, 1.134701, 2.942324, 3.405531, 2.340409, 0.916923, 1.000000, 
32768, 15.000, 3.405224, 1.063390, 1.063390, 2.891320, 4.260030, 2.298096, 0.934850, 1.000000, 
65536, 16.000, 2.972304, 0.796986, 0.796986, 2.177733, 2.723758, 1.892129, 0.922893, 1.000000, 
131072, 17.000, 1.395593, 0.384094, 0.384094, 0.852883, 2.377293, 1.244357, 0.937824, 1.000000, 
262144, 18.000, 1.226471, 0.608780, 0.608780, 0.807844, 1.875747, 0.989913, 0.926199, 1.000000, 
524288, 19.000, 1.047454, 1.112860, 1.112860, 0.762646, 2.616652, 0.952814, 0.924777, 1.000000, 
1048576, 20.000, 1.190423, 1.117101, 1.117101, 1.023047, 2.993653, 0.976592, 0.930187, 1.000000, 
2097152, 21.000, 1.148025, 1.032065, 1.032065, 1.427645, 3.589866, 1.032333, 0.943627, 1.000000, 
