size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 2238126.000000, 3730210.000000, 6714378.000000, 7460420.000000, 4476252.000000, 1492084.000000, 0.000000, 0.000000, 
4, 2.000, 1119060.000000, 2797650.000000, 4662750.000000, 5595300.000000, 3543690.000000, 1119060.000000, 0.000000, 0.000000, 
8, 3.000, 559530.000000, 1865100.000000, 2362460.000000, 2238120.000000, 621700.000000, 621700.000000, 0.000000, 0.000000, 
16, 4.000, 512886.000000, 1095711.000000, 1119024.000000, 419634.000000, 512886.000000, 373008.000000, 1212276.000000, 1002459.000000, 
32, 5.000, 186500.000000, 531525.000000, 839250.000000, 214475.000000, 121225.000000, 195825.000000, 606125.000000, 512875.000000, 
64, 6.000, 124320.000000, 361305.000000, 435120.000000, 101010.000000, 93240.000000, 101010.000000, 326340.000000, 268065.000000, 
128, 7.000, 54945.000000, 191475.000000, 224775.000000, 43290.000000, 24975.000000, 49950.000000, 159840.000000, 134865.000000, 
256, 8.000, 29120.000000, 90272.000000, 100464.000000, 21112.000000, 18200.000000, 24024.000000, 77168.000000, 64792.000000, 
512, 9.000, 10659.000000, 40375.000000, 45866.000000, 10013.000000, 5814.000000, 10982.000000, 34238.000000, 29070.000000, 
1024, 10.000, 4205.000000, 18125.000000, 19140.000000, 4205.000000, 3915.000000, 5220.000000, 16385.000000, 14065.000000, 
2048, 11.000, 2244.000000, 7854.000000, 8316.000000, 2046.000000, 1254.000000, 2310.000000, 6138.000000, 5610.000000, 
4096, 12.000, 720.000000, 2940.000000, 2940.000000, 900.000000, 810.000000, 1050.000000, 2760.000000, 2550.000000, 
8192, 13.000, 378.000000, 1008.000000, 1008.000000, 392.000000, 280.000000, 476.000000, 1176.000000, 1092.000000, 
16384, 14.000, 138.000000, 480.000000, 480.000000, 186.000000, 162.000000, 234.000000, 588.000000, 540.000000, 
32768, 15.000, 72.000000, 228.000000, 228.000000, 84.000000, 57.000000, 108.000000, 261.000000, 243.000000, 
65536, 16.000, 28.000000, 103.000000, 103.000000, 38.000000, 31.000000, 44.000000, 89.000000, 82.000000, 
131072, 17.000, 11.000000, 38.000000, 38.000000, 18.000000, 7.000000, 12.000000, 16.000000, 15.000000, 
262144, 18.000, 4.000000, 8.000000, 8.000000, 6.000000, 3.000000, 5.000000, 5.000000, 5.000000, 
524288, 19.000, 2.000000, 2.000000, 2.000000, 3.000000, 1.000000, 3.000000, 3.000000, 2.000000, 
1048576, 20.000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 
2097152, 21.000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
