size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 264.898331, 478.775277, 798.788679, 947.577526, 541.565079, 167.319948, 0.000000, 0.000000, 
4, 2.000, 538.579267, 1480.913909, 2473.591024, 2919.978865, 1830.938541, 509.517657, 0.000000, 0.000000, 
8, 3.000, 813.713870, 2956.799746, 3744.883887, 3505.849949, 935.578937, 918.666650, 0.000000, 0.000000, 
16, 4.000, 2150.366794, 4611.487305, 4720.499881, 1713.392835, 2117.435960, 1536.642657, 5112.089030, 4218.715133, 
32, 5.000, 1953.595559, 5612.094736, 8885.712584, 2219.620577, 1292.291292, 2036.343784, 6449.510534, 5449.305390, 
64, 6.000, 3093.920246, 9214.270914, 11101.253729, 2520.229231, 2308.828631, 2584.477612, 8337.850641, 6807.414706, 
128, 7.000, 3257.206373, 11429.743972, 13329.432866, 2557.316350, 1476.046305, 2934.921176, 9500.085570, 7977.174695, 
256, 8.000, 3970.212964, 12291.703633, 13660.131854, 2797.503575, 2468.793673, 3202.324364, 10476.983924, 8833.723845, 
512, 9.000, 3247.318863, 12365.526363, 14000.617920, 3013.375654, 1692.478047, 3327.988215, 10469.266409, 8869.459508, 
1024, 10.000, 2809.442407, 12360.231488, 13015.220336, 2851.999285, 2580.067189, 3505.055671, 11151.888975, 9573.942234, 
2048, 11.000, 3344.702169, 11785.446746, 12453.408316, 2987.186520, 1848.526877, 3397.733090, 9122.850131, 8420.195344, 
4096, 12.000, 2308.930529, 9616.354344, 0.000000, 2920.614800, 2558.979831, 3419.507444, 8959.864736, 8279.721758, 
8192, 13.000, 2679.429975, 7115.215515, 0.000000, 2730.809566, 1897.913617, 3362.057608, 8279.681874, 7700.800053, 
16384, 14.000, 2107.351056, 7257.490145, 0.000000, 2798.809730, 2418.145210, 3518.659508, 8981.180905, 8235.081677, 
32768, 15.000, 2326.018430, 7448.559693, 0.000000, 2739.508466, 1859.260587, 3446.642903, 8472.635771, 7920.802165, 
65536, 16.000, 1925.923632, 7182.457256, 0.000000, 2628.616816, 2101.626430, 3025.340092, 6202.653516, 5724.277801, 
131072, 17.000, 1548.736833, 5627.164836, 0.000000, 2534.136513, 909.166409, 1736.932611, 2304.696718, 2161.365753, 
262144, 18.000, 1174.728823, 2366.677074, 0.000000, 1783.528433, 768.112516, 1455.493041, 1555.576361, 1440.765055, 
524288, 19.000, 1251.889433, 1178.314644, 0.000000, 1719.422111, 501.140580, 1376.261433, 1417.989675, 1311.306637, 
1048576, 20.000, 1149.395200, 1224.828875, 0.000000, 1337.443799, 457.056179, 1401.066925, 1470.952718, 1368.237274, 
2097152, 21.000, 1122.349074, 1248.449848, 0.000000, 902.527681, 358.924893, 1248.124336, 1365.468797, 1288.493487, 
