size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.168980, 0.155823, 0.168114, 0.157463, 0.165308, 0.178351, 0.000000, 0.000000, 
4, 2.000, 0.166224, 0.151131, 0.150801, 0.153297, 0.154836, 0.175705, 0.000000, 0.000000, 
8, 3.000, 0.165030, 0.151388, 0.151404, 0.153215, 0.159482, 0.162418, 0.000000, 0.000000, 
16, 4.000, 0.152647, 0.152067, 0.151716, 0.156745, 0.155021, 0.155355, 0.151769, 0.152078, 
32, 5.000, 0.152744, 0.151537, 0.151119, 0.154603, 0.150090, 0.153864, 0.150368, 0.150588, 
64, 6.000, 0.154299, 0.150572, 0.150511, 0.153906, 0.155075, 0.150080, 0.150296, 0.151213, 
128, 7.000, 0.151144, 0.150101, 0.151093, 0.151674, 0.151605, 0.152492, 0.150753, 0.151481, 
256, 8.000, 0.150213, 0.150408, 0.150621, 0.154557, 0.150979, 0.153642, 0.150845, 0.150213, 
512, 9.000, 0.151253, 0.150457, 0.150958, 0.153117, 0.158294, 0.152059, 0.150697, 0.151029, 
1024, 10.000, 0.153266, 0.150159, 0.150588, 0.150979, 0.155382, 0.152502, 0.150452, 0.150435, 
2048, 11.000, 0.151143, 0.150130, 0.150435, 0.154300, 0.152825, 0.153160, 0.151572, 0.150094, 
4096, 12.000, 0.153272, 0.150272, 0.150272, 0.151464, 0.155582, 0.150927, 0.151408, 0.151379, 
8192, 13.000, 0.150239, 0.150871, 0.150871, 0.152872, 0.157114, 0.150777, 0.151261, 0.151015, 
16384, 14.000, 0.150207, 0.151706, 0.151706, 0.152436, 0.153667, 0.152541, 0.150173, 0.150409, 
32768, 15.000, 0.152146, 0.150454, 0.150454, 0.150712, 0.150687, 0.154017, 0.151413, 0.150792, 
65536, 16.000, 0.152447, 0.150371, 0.150371, 0.151585, 0.154670, 0.152503, 0.150457, 0.150208, 
131072, 17.000, 0.158261, 0.150471, 0.150471, 0.158271, 0.171559, 0.153942, 0.154691, 0.154640, 
262144, 18.000, 0.160670, 0.159501, 0.159501, 0.158739, 0.184293, 0.162096, 0.151667, 0.163753, 
524288, 19.000, 0.159143, 0.169080, 0.169080, 0.173805, 0.198776, 0.217142, 0.210752, 0.151932, 
1048576, 20.000, 0.182457, 0.171220, 0.171220, 0.156803, 0.458839, 0.299365, 0.285142, 0.153274, 
2097152, 21.000, 0.392393, 0.352759, 0.352759, 0.487965, 1.227003, 0.352851, 0.322528, 0.341796, 
