size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.029000, 3.873000, 184.718000, 0.015000, 0.024000, 0.013000, 0.004000, 0.003000, 
160, 7.322, 0.007000, 4.676000, 330.132000, 0.005000, 0.065000, 0.012000, 0.006000, 0.004000, 
192, 7.585, 0.008000, 3.770000, 308.310000, 0.005000, 0.028000, 0.014000, 0.006000, 0.003000, 
384, 8.585, 0.014000, 4.459000, 486.381000, 0.007000, 0.048000, 0.015000, 0.007000, 0.007000, 
480, 8.907, 0.015000, 9.013000, 871.884000, 0.008000, 0.050000, 0.015000, 0.007000, 0.006000, 
640, 9.322, 0.018000, 7.627000, 686.359000, 0.013000, 0.089000, 0.022000, 0.011000, 0.010000, 
768, 9.585, 0.020000, 6.614000, 662.295000, 0.013000, 0.090000, 0.020000, 0.012000, 0.010000, 
800, 9.644, 0.021000, 9.778000, 693.736000, 0.013000, 0.090000, 0.020000, 0.011000, 0.010000, 
2400, 11.229, 0.058000, 15.716000, 15.716000, 0.162000, 0.340000, 0.042000, 0.036000, 0.035000, 
9216, 13.170, 0.237000, 10.877000, 10.877000, 0.162000, 1.452000, 0.156000, 0.135000, 0.135000, 
