size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 2.026005, 1.518340, 0.843732, 3.094481, 3.325672, 2.498955, 0.893516, 1.000000, 
160, 7.322, 1.852702, 0.971292, 0.752867, 3.806777, 6.272449, 2.699780, 0.888786, 1.000000, 
192, 7.585, 2.000927, 0.982763, 0.916281, 3.734684, 6.129662, 2.693837, 0.898965, 1.000000, 
384, 8.585, 2.563732, 1.208835, 0.875525, 3.736078, 4.277157, 3.002824, 0.900992, 1.000000, 
480, 8.907, 3.143554, 1.420616, 1.123073, 3.623412, 4.110956, 2.894047, 0.912454, 1.000000, 
640, 9.322, 2.082557, 0.926211, 0.842241, 3.873503, 6.845069, 2.951878, 0.909401, 1.000000, 
768, 9.585, 2.464495, 1.456296, 0.881402, 3.869864, 6.812091, 2.968639, 0.911137, 1.000000, 
800, 9.644, 2.761453, 1.401830, 1.015207, 3.871807, 6.818879, 2.956990, 0.910739, 1.000000, 
2400, 11.229, 1.693111, 0.942308, 0.942308, 3.493059, 5.711252, 2.801545, 0.980971, 1.000000, 
9216, 13.170, 1.437202, 0.588954, 0.588954, 2.819048, 4.181255, 2.322698, 0.908188, 1.000000, 
