size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 127292.000000, 167794.000000, 300872.000000, 86790.000000, 81004.000000, 104148.000000, 283514.000000, 254584.000000, 
160, 7.322, 74400.000000, 142848.000000, 184512.000000, 38688.000000, 23808.000000, 53568.000000, 154752.000000, 139872.000000, 
192, 7.585, 69440.000000, 138880.000000, 148800.000000, 37200.000000, 22320.000000, 52080.000000, 151280.000000, 136400.000000, 
384, 8.585, 26040.000000, 55335.000000, 75950.000000, 18445.000000, 16275.000000, 22785.000000, 73780.000000, 66185.000000, 
480, 8.907, 20832.000000, 45136.000000, 57288.000000, 18228.000000, 15624.000000, 22568.000000, 70308.000000, 64232.000000, 
640, 9.322, 16184.000000, 35258.000000, 38726.000000, 8670.000000, 5202.000000, 11560.000000, 35836.000000, 32946.000000, 
768, 9.585, 13496.000000, 22654.000000, 37114.000000, 8676.000000, 4820.000000, 11086.000000, 36150.000000, 32776.000000, 
800, 9.644, 12012.000000, 23562.000000, 32340.000000, 8778.000000, 5082.000000, 11088.000000, 36036.000000, 32802.000000, 
2400, 11.229, 3654.000000, 6552.000000, 6552.000000, 1890.000000, 1134.000000, 2268.000000, 6300.000000, 6174.000000, 
9216, 13.170, 702.000000, 1701.000000, 1701.000000, 351.000000, 243.000000, 432.000000, 1107.000000, 999.000000, 
