size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 2613.460620, 3487.285020, 6275.551521, 1711.072459, 1592.124971, 2118.838615, 5925.896682, 5294.882840, 
160, 7.322, 2897.517770, 5526.891605, 7130.376891, 1410.175440, 855.844091, 1988.395955, 6039.968638, 5368.240158, 
192, 7.585, 3271.236821, 6660.323830, 7143.589035, 1752.629718, 1067.842157, 2429.816258, 7281.178957, 6545.528013, 
384, 8.585, 2819.220306, 5979.100788, 8255.368237, 1934.582809, 1689.855736, 2406.978469, 8021.986846, 7227.756129, 
480, 8.907, 2880.011562, 6372.904665, 8061.371559, 2498.599048, 2202.281631, 3128.307579, 9922.109363, 9053.466298, 
640, 9.322, 3107.637398, 6987.411261, 7684.039695, 1670.807103, 945.472039, 2192.460495, 7116.615752, 6471.820525, 
768, 9.585, 3236.283999, 5476.757355, 9048.995988, 2061.011605, 1170.835422, 2686.680016, 8753.708302, 7975.787897, 
800, 9.644, 3029.638120, 5967.997992, 8240.826221, 2160.788969, 1226.900577, 2829.294864, 9186.154439, 8366.068199, 
2400, 11.229, 3272.242513, 5879.465372, 0.000000, 1586.084190, 970.071388, 1977.593973, 5647.803102, 5540.302342, 
9216, 13.170, 2778.705826, 6780.783351, 0.000000, 1416.638428, 955.106800, 1719.370551, 4397.321893, 3993.592435, 
