size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
96, 6.585, 0.153950, 0.152084, 0.151539, 0.160323, 0.160814, 0.155363, 0.151222, 0.151974, 
160, 7.322, 0.150405, 0.151394, 0.151575, 0.160701, 0.162946, 0.157804, 0.150078, 0.152621, 
192, 7.585, 0.154569, 0.151834, 0.151674, 0.154553, 0.152199, 0.156071, 0.151288, 0.151738, 
384, 8.585, 0.152248, 0.152547, 0.151646, 0.157156, 0.158749, 0.156033, 0.151599, 0.150937, 
480, 8.907, 0.154623, 0.151399, 0.151912, 0.155948, 0.151655, 0.154213, 0.151474, 0.151661, 
640, 9.322, 0.155350, 0.150521, 0.150338, 0.154792, 0.164126, 0.157283, 0.150211, 0.151856, 
768, 9.585, 0.153490, 0.152245, 0.150959, 0.154939, 0.151521, 0.151873, 0.151998, 0.151253, 
800, 9.644, 0.152945, 0.152298, 0.151384, 0.156709, 0.159785, 0.151177, 0.151326, 0.151248, 
2400, 11.229, 0.150466, 0.150159, 0.150159, 0.160565, 0.157516, 0.154533, 0.150306, 0.150158, 
9216, 13.170, 0.153317, 0.152237, 0.152237, 0.150364, 0.154401, 0.152479, 0.152776, 0.151809, 
