size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.009000, 2.878000, 0.029000, 0.008000, 0.009000, 0.005000, 0.000000, 0.000000, 
4, 2.000, 0.001000, 0.082000, 0.039000, 0.001000, 0.004000, 0.003000, 0.000000, 0.000000, 
8, 3.000, 0.019000, 0.088000, 0.060000, 0.002000, 0.016000, 0.004000, 0.000000, 0.000000, 
16, 4.000, 0.003000, 0.092000, 0.062000, 0.004000, 0.024000, 0.005000, 0.000000, 0.000000, 
32, 5.000, 0.004000, 0.496000, 10.435000, 0.003000, 0.008000, 0.006000, 0.003000, 0.002000, 
64, 6.000, 0.006000, 0.664000, 30.815000, 0.003000, 0.011000, 0.009000, 0.004000, 0.002000, 
128, 7.000, 0.007000, 0.795000, 74.390000, 0.003000, 0.018000, 0.009000, 0.004000, 0.002000, 
256, 8.000, 0.009000, 1.776000, 155.680000, 0.006000, 0.031000, 0.011000, 0.005000, 0.005000, 
512, 9.000, 0.015000, 2.212000, 227.596000, 0.008000, 0.051000, 0.015000, 0.007000, 0.007000, 
1024, 10.000, 0.027000, 3.646000, 348.505000, 0.013000, 0.102000, 0.022000, 0.011000, 0.010000, 
2048, 11.000, 0.050000, 4.253000, 454.540000, 0.024000, 0.172000, 0.030000, 0.020000, 0.018000, 
4096, 12.000, 0.098000, 4.958000, 4.958000, 0.043000, 0.332000, 0.045000, 0.036000, 0.035000, 
8192, 13.000, 0.191000, 5.803000, 5.803000, 0.082000, 0.680000, 0.122000, 0.069000, 0.068000, 
16384, 14.000, 0.376000, 6.468000, 6.468000, 0.160000, 1.462000, 0.110000, 0.135000, 0.133000, 
32768, 15.000, 0.750000, 7.627000, 7.627000, 0.315000, 2.881000, 0.241000, 0.266000, 0.264000, 
65536, 16.000, 1.501000, 8.629000, 8.629000, 0.629000, 5.705000, 0.554000, 0.527000, 0.533000, 
131072, 17.000, 3.003000, 10.298000, 10.298000, 1.249000, 11.493000, 1.062000, 1.057000, 1.057000, 
262144, 18.000, 6.026000, 15.548000, 15.548000, 2.497000, 23.243000, 2.135000, 2.103000, 2.123000, 
524288, 19.000, 11.979000, 23.610000, 23.610000, 4.985000, 46.537000, 4.620000, 4.258000, 4.251000, 
1048576, 20.000, 23.917000, 30.057000, 30.057000, 9.936000, 92.991000, 10.127000, 8.454000, 8.426000, 
2097152, 21.000, 47.826000, 69.367000, 69.367000, 19.859000, 185.826000, 20.244000, 16.989000, 16.999000, 
