size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
4, 2.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
8, 3.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
16, 4.000, inf, inf, inf, inf, inf, inf, 0.000000, 0.000000, 
32, 5.000, 2.025210, 1.260572, 0.743129, 2.038956, 1.776290, 2.116818, 0.904360, 1.000000, 
64, 6.000, 2.178140, 1.493043, 1.144646, 2.607053, 4.300070, 2.173854, 0.891309, 1.000000, 
128, 7.000, 2.495729, 1.012472, 1.016963, 2.989953, 3.209133, 2.454059, 0.912231, 1.000000, 
256, 8.000, 2.655717, 1.564230, 1.107180, 3.849711, 6.364649, 2.757362, 0.894822, 1.000000, 
512, 9.000, 3.276262, 1.307751, 1.129527, 3.690935, 4.230902, 2.948288, 0.902899, 1.000000, 
1024, 10.000, 3.512112, 1.240129, 1.537655, 3.766890, 6.620457, 2.874461, 0.929708, 1.000000, 
2048, 11.000, 3.691182, 1.278974, 1.337838, 3.979223, 4.695790, 3.036153, 0.906222, 1.000000, 
4096, 12.000, 3.266621, 1.181558, 1.181558, 3.523789, 5.755152, 2.778121, 0.980313, 1.000000, 
8192, 13.000, 2.837072, 0.964856, 0.964856, 2.530296, 3.029308, 2.274293, 0.903363, 1.000000, 
16384, 14.000, 2.886038, 1.210029, 1.210029, 2.810155, 4.140488, 2.308612, 0.908124, 1.000000, 
32768, 15.000, 3.052289, 1.148740, 1.148740, 2.698475, 3.252774, 2.262065, 0.929202, 1.000000, 
65536, 16.000, 3.008148, 1.246102, 1.246102, 2.919144, 4.346678, 2.342925, 0.929249, 1.000000, 
131072, 17.000, 2.208483, 0.947875, 0.947875, 1.963587, 2.634985, 1.871454, 0.946124, 1.000000, 
262144, 18.000, 1.449525, 0.524227, 0.524227, 0.760671, 2.131122, 1.272251, 0.914403, 1.000000, 
524288, 19.000, 1.165396, 0.638862, 0.638862, 0.684205, 1.591501, 1.087682, 0.912005, 1.000000, 
1048576, 20.000, 1.171444, 0.769974, 0.769974, 0.738725, 2.355069, 1.110561, 0.902679, 1.000000, 
2097152, 21.000, 1.224215, 0.872122, 0.872122, 1.187299, 2.460299, 1.136009, 0.901505, 1.000000, 
