size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 3310266.000000, 6620532.000000, 6620532.000000, 8275665.000000, 3310266.000000, 1655133.000000, 0.000000, 0.000000, 
4, 2.000, 2482698.000000, 4551613.000000, 4965396.000000, 6620528.000000, 2482698.000000, 1241349.000000, 0.000000, 0.000000, 
8, 3.000, 827562.000000, 3172321.000000, 3172321.000000, 3586102.000000, 1930978.000000, 689635.000000, 0.000000, 0.000000, 
16, 4.000, 827552.000000, 1913714.000000, 1758548.000000, 1603382.000000, 517220.000000, 620664.000000, 0.000000, 0.000000, 
32, 5.000, 331024.000000, 537914.000000, 889627.000000, 331024.000000, 372402.000000, 331024.000000, 744804.000000, 662048.000000, 
64, 6.000, 206880.000000, 301700.000000, 396520.000000, 172400.000000, 112060.000000, 206880.000000, 508580.000000, 456860.000000, 
128, 7.000, 99738.000000, 243804.000000, 240110.000000, 84962.000000, 77574.000000, 99738.000000, 269662.000000, 243804.000000, 
256, 8.000, 53328.000000, 90496.000000, 127664.000000, 37168.000000, 22624.000000, 51712.000000, 156752.000000, 140592.000000, 
512, 9.000, 20104.000000, 49542.000000, 57440.000000, 17950.000000, 15796.000000, 22258.000000, 71800.000000, 65338.000000, 
1024, 10.000, 9044.000000, 25517.000000, 20672.000000, 8398.000000, 4845.000000, 10982.000000, 34238.000000, 31654.000000, 
2048, 11.000, 4088.000000, 11534.000000, 10950.000000, 3796.000000, 3212.000000, 4818.000000, 16206.000000, 14600.000000, 
4096, 12.000, 1943.000000, 5293.000000, 5293.000000, 1809.000000, 1139.000000, 2278.000000, 6365.000000, 6231.000000, 
8192, 13.000, 713.000000, 2108.000000, 2108.000000, 806.000000, 682.000000, 899.000000, 2232.000000, 2015.000000, 
16384, 14.000, 350.000000, 826.000000, 826.000000, 364.000000, 238.000000, 434.000000, 1092.000000, 994.000000, 
32768, 15.000, 150.000000, 396.000000, 396.000000, 168.000000, 144.000000, 204.000000, 486.000000, 456.000000, 
65536, 16.000, 75.000000, 180.000000, 180.000000, 78.000000, 54.000000, 96.000000, 240.000000, 225.000000, 
131072, 17.000, 31.000000, 72.000000, 72.000000, 35.000000, 26.000000, 37.000000, 72.000000, 68.000000, 
262144, 18.000, 9.000000, 23.000000, 23.000000, 16.000000, 6.000000, 10.000000, 14.000000, 12.000000, 
524288, 19.000, 4.000000, 6.000000, 6.000000, 6.000000, 3.000000, 4.000000, 4.000000, 4.000000, 
1048576, 20.000, 2.000000, 3.000000, 3.000000, 3.000000, 1.000000, 2.000000, 2.000000, 2.000000, 
2097152, 21.000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
