size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 166.933066, 428.419118, 429.052143, 499.008997, 128.678950, 100.311699, 0.000000, 0.000000, 
4, 2.000, 556.203555, 1212.413646, 1253.840385, 1717.944340, 648.647420, 308.285226, 0.000000, 0.000000, 
8, 3.000, 655.529269, 2521.884863, 2513.874438, 2836.077635, 1522.553124, 541.754170, 0.000000, 0.000000, 
16, 4.000, 1683.384866, 3992.570706, 3729.416334, 3378.363764, 1007.851615, 1217.921079, 0.000000, 0.000000, 
32, 5.000, 1738.742655, 2793.415210, 4738.485712, 1727.017915, 1982.390674, 1663.489431, 3893.712874, 3521.297786, 
64, 6.000, 2635.169239, 3844.357873, 5014.446896, 2201.641547, 1334.800762, 2640.371717, 6439.716948, 5739.785242, 
128, 7.000, 2911.318421, 7176.359527, 7144.659569, 2430.104896, 2264.122740, 2960.761218, 7964.962980, 7265.918416, 
256, 8.000, 3591.134727, 6096.933634, 8613.839555, 2477.334427, 1498.442891, 3458.748130, 10658.020239, 9537.028121, 
512, 9.000, 3036.893846, 7608.281709, 8808.748727, 2695.694117, 2351.670608, 3374.754506, 11019.664269, 9949.620426, 
1024, 10.000, 3066.757621, 8685.252353, 7004.721408, 2859.368911, 1626.915888, 3747.073798, 11585.238448, 10770.888356, 
2048, 11.000, 2966.827012, 8562.510776, 8185.720543, 2752.056022, 2332.115149, 3606.887586, 12084.470365, 10951.142364, 
4096, 12.000, 3115.879701, 8614.506298, 0.000000, 2888.513901, 1768.582585, 3663.786812, 10382.869811, 10178.470701, 
8192, 13.000, 2518.713238, 7406.144406, 0.000000, 2824.102652, 2358.891588, 3142.000722, 7910.224163, 7145.883089, 
16384, 14.000, 2608.527258, 6221.581464, 0.000000, 2678.955535, 1818.201099, 3260.956774, 8289.875625, 7528.321843, 
32768, 15.000, 2416.582539, 6421.070828, 0.000000, 2733.396448, 2267.652600, 3260.794401, 7938.121664, 7376.051286, 
65536, 16.000, 2585.127575, 6240.491982, 0.000000, 2663.960915, 1789.028316, 3319.110009, 8368.467887, 7776.446158, 
131072, 17.000, 2284.496302, 5322.650176, 0.000000, 2569.429564, 1914.787943, 2695.984618, 5332.557586, 5045.259457, 
262144, 18.000, 1298.544145, 3590.657270, 0.000000, 2474.515634, 883.228991, 1479.516380, 2058.478739, 1882.291869, 
524288, 19.000, 1001.636166, 1827.156037, 0.000000, 1706.072332, 733.467897, 1073.226314, 1279.942437, 1167.323521, 
1048576, 20.000, 975.501205, 1484.120986, 0.000000, 1546.884082, 485.222719, 1028.979093, 1265.937462, 1142.731350, 
2097152, 21.000, 908.494760, 1275.300059, 0.000000, 936.762271, 452.057778, 979.049499, 1233.708673, 1112.199084, 
