size, log2, FFTPack      , FFTW F(estim), FFTW F(auto) , Green        , Kiss         , Pocket       , PFFFT-U(simd), PFFFT (simd) , 
2, 1.000, 0.198299, 0.154534, 0.154306, 0.165842, 0.257250, 0.164999, 0.000000, 0.000000, 
4, 2.000, 0.178546, 0.150167, 0.158406, 0.154150, 0.153100, 0.161065, 0.000000, 0.000000, 
8, 3.000, 0.151492, 0.150950, 0.151431, 0.151735, 0.152190, 0.152756, 0.000000, 0.000000, 
16, 4.000, 0.157312, 0.153382, 0.150891, 0.151873, 0.164221, 0.163075, 0.000000, 0.000000, 
32, 5.000, 0.152305, 0.154052, 0.150196, 0.153339, 0.150284, 0.159195, 0.153027, 0.150410, 
64, 6.000, 0.150734, 0.150679, 0.151825, 0.150346, 0.161189, 0.150437, 0.151633, 0.152823, 
128, 7.000, 0.153479, 0.152200, 0.150559, 0.156631, 0.153495, 0.150916, 0.151675, 0.150324, 
256, 8.000, 0.152063, 0.151991, 0.151765, 0.153633, 0.154607, 0.153099, 0.150604, 0.150955, 
512, 9.000, 0.152523, 0.150027, 0.150239, 0.153418, 0.154758, 0.151959, 0.150120, 0.151301, 
1024, 10.000, 0.150991, 0.150424, 0.151099, 0.150375, 0.152475, 0.150058, 0.151312, 0.150469, 
2048, 11.000, 0.155207, 0.151730, 0.150678, 0.155368, 0.155138, 0.150462, 0.151057, 0.150171, 
4096, 12.000, 0.153251, 0.151002, 0.151002, 0.153913, 0.158274, 0.152804, 0.150658, 0.150448, 
8192, 13.000, 0.150735, 0.151559, 0.151559, 0.151970, 0.153950, 0.152355, 0.150248, 0.150149, 
16384, 14.000, 0.153883, 0.152264, 0.152264, 0.155831, 0.150125, 0.152638, 0.151075, 0.151428, 
32768, 15.000, 0.152546, 0.151565, 0.151565, 0.151049, 0.156062, 0.153751, 0.150463, 0.151933, 
65536, 16.000, 0.152107, 0.151225, 0.151225, 0.153510, 0.158251, 0.151642, 0.150361, 0.151695, 
131072, 17.000, 0.151182, 0.150707, 0.150707, 0.151761, 0.151280, 0.152902, 0.150427, 0.150160, 
262144, 18.000, 0.163519, 0.151125, 0.151125, 0.152550, 0.160273, 0.159464, 0.160459, 0.150410, 
524288, 19.000, 0.198904, 0.163557, 0.163557, 0.175165, 0.203720, 0.185636, 0.155655, 0.170672, 
1048576, 20.000, 0.214982, 0.211959, 0.211959, 0.203359, 0.216102, 0.203809, 0.165660, 0.183521, 
2097152, 21.000, 0.242380, 0.172666, 0.172666, 0.235066, 0.487108, 0.224913, 0.178487, 0.197987, 
