| input len | real FFTPack |real FFTWestim|real FFTWauto |  real  Green |  real   Kiss | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx  Green |  cplx   Kiss | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|       96  |       5227   |       6493   |      13096   |       3593   |       3082   |      13246   |      11941   |       6968   |      35992   |      38187   |       3509   |       2754   |      17262   |      13955   |
|      160  |       6303   |      15292   |      16531   |       2760   |       2241   |      17080   |      15174   |       7602   |      35856   |      42589   |       3135   |       2821   |      19535   |      16136   |
|      192  |       6924   |      12879   |      15499   |       3417   |       2788   |      18220   |      16485   |       7629   |      39515   |      45027   |       3871   |       3486   |      21195   |      17152   |
|      384  |       6598   |      13464   |      17825   |       3762   |       3421   |      20920   |      18633   |       7881   |      41487   |      48748   |       4273   |       3071   |      21983   |      18304   |
|      480  |       6387   |      15611   |      18814   |       4881   |       4446   |      21661   |      19067   |       7233   |      16855   |      26945   |       5246   |       3748   |      20827   |      17642   |
|      640  |       6961   |      16326   |      19972   |       3326   |       2475   |      23609   |      21048   |       7898   |      43631   |      47722   |       3144   |       3021   |      22762   |      19285   |
|      768  |       7445   |      16295   |      20498   |       4103   |       3050   |      24444   |      20811   |       7218   |      23806   |      40635   |       3846   |       3708   |      23988   |      20232   |
|      800  |       6582   |      18391   |      20373   |       4300   |       3200   |      23010   |      20523   |       7127   |      25158   |      30949   |       3968   |       3663   |      19568   |      17140   |
|     2400  |       6093   |      13921   |      n/a     |       2898   |       2436   |      23295   |      21568   |       6681   |      21453   |      n/a     |       2949   |       2636   |      17829   |      16076   |
|     9216  |       6594   |      15188   |      n/a     |       2578   |       2277   |      21508   |      19426   |       6528   |      17356   |      n/a     |       2689   |       2701   |      18623   |      16896   |
