| input len | real FFTPack |real FFTWestim|real FFTWauto |  real  Green |  real   Kiss | real PFFFT-U |  real  PFFFT | cplx FFTPack |cplx FFTWestim|cplx FFTWauto |  cplx  Green |  cplx   Kiss | cplx PFFFT-U |  cplx  PFFFT |
|----------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|-------------:|
|        2  |        289   |        529   |        864   |       1118   |        229   |         91   |         77   |        432   |        931   |       1565   |       2269   |       1069   |        322   |        261   |
|        4  |        864   |       2535   |       2685   |       3880   |       1203   |        368   |        328   |       1169   |       3064   |       5002   |       5932   |       3177   |       1246   |        970   |
|        8  |       1334   |       5152   |       5082   |       5119   |       2593   |       1036   |        929   |       1589   |       5505   |       7208   |       7984   |       2785   |       3850   |       3107   |
|       16  |       2871   |       8639   |       8287   |       7483   |       2884   |       2935   |       2605   |       4613   |       9226   |       8909   |       3233   |       4157   |      10312   |       8312   |
|       32  |       3798   |       5295   |       9371   |       3209   |       3965   |       7277   |       6200   |       4877   |      11582   |      26090   |       4377   |       3379   |      12472   |      10436   |
|       64  |       5733   |       6971   |      10358   |       3866   |       3410   |      12482   |      10701   |       6841   |      28796   |      33302   |       5202   |       4344   |      17680   |      13868   |
|      128  |       6139   |      11176   |      14248   |       5100   |       4211   |      16198   |      14425   |       8276   |      36445   |      42610   |       4876   |       3745   |      19810   |      15845   |
|      256  |       7996   |      13994   |      18635   |       4771   |       3780   |      21987   |      18327   |       8463   |      40810   |      46346   |       5497   |       4939   |      23531   |      19288   |
|      512  |       7429   |      15912   |      21281   |       5273   |       4790   |      24347   |      21588   |       8334   |      44270   |      48623   |       5881   |       4097   |      20778   |      19093   |
|     1024  |       8152   |      15788   |      22282   |       5698   |       4247   |      27139   |      24027   |       8192   |      45047   |      49696   |       5396   |       5184   |      25129   |      21283   |
|     2048  |       7713   |      17142   |      23888   |       5248   |       5002   |      26791   |      24010   |       8207   |      41133   |      44690   |       5290   |       4236   |      21224   |      18139   |
|     4096  |       7312   |      15185   |      n/a     |       5019   |       4127   |      24761   |      22852   |       7366   |      30161   |      n/a     |       5580   |       5304   |      20460   |      18303   |
|     8192  |       6869   |      15417   |      n/a     |       5504   |       5124   |      20476   |      18518   |       7998   |      23440   |      n/a     |       5203   |       4594   |      18929   |      16947   |
|    16384  |       7107   |      16943   |      n/a     |       5129   |       4640   |      21112   |      19205   |       7001   |      24208   |      n/a     |       5345   |       5371   |      20487   |      18437   |
|    32768  |       6869   |      15507   |      n/a     |       5188   |       5233   |      20306   |      18550   |       7252   |      24199   |      n/a     |       5409   |       4602   |      17620   |      15995   |
|    65536  |       6732   |      14685   |      n/a     |       5321   |       4531   |      19995   |      18442   |       6593   |      24054   |      n/a     |       5090   |       4671   |      17667   |      15841   |
|   131072  |       6311   |      13990   |      n/a     |       5021   |       4620   |      16435   |      15274   |       6488   |      16833   |      n/a     |       4889   |       3684   |      12564   |      11742   |
|   262144  |       5660   |      13218   |      n/a     |       4880   |       3634   |      12199   |      10958   |       6386   |      12867   |      n/a     |       4989   |       3667   |      13325   |      12328   |
|   524288  |       5601   |      10559   |      n/a     |       4902   |       3472   |      11476   |      10228   |       6521   |       5993   |      n/a     |       4756   |       2943   |      12307   |      11531   |
|  1048576  |       5470   |      11270   |      n/a     |       4353   |       2849   |      11513   |      10363   |       4344   |       5719   |      n/a     |       4218   |       2390   |      12034   |      11230   |
