size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1663988589, 30.632, 0.004000, 0.038000, 82.052000, 0.002000, 0.021000, 0.002000, 0.002000, 
30323, 14.888, 0.005000, 0.062000, 100.952000, 0.002000, 0.014000, 0.004000, 0.003000, 
192, 7.585, 0.005000, 0.312000, 130.166000, 0.002000, 0.014000, 0.004000, 0.003000, 
384, 8.585, 0.009000, 0.297000, 188.163000, 0.003000, 0.024000, 0.005000, 0.004000, 
480, 8.907, 0.010000, 0.292000, 299.109000, 0.003000, 0.026000, 0.007000, 0.005000, 
640, 9.322, 0.014000, 0.037000, 219.905000, 0.004000, 0.045000, 0.007000, 0.007000, 
768, 9.585, 0.016000, 0.462000, 257.000000, 0.004000, 0.062000, 0.009000, 0.007000, 
800, 9.644, 0.017000, 0.048000, 223.706000, 0.003000, 0.070000, 0.009000, 0.010000, 
2400, 11.229, 0.044000, 0.147000, 0.147000, 0.013000, 0.199000, 0.023000, 0.022000, 
9216, 13.170, 0.197000, 0.442000, 0.442000, 0.047000, 0.720000, 0.125000, 0.097000, 
