size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1663988589, 30.632, 2.002680, 0.387724, 0.365443, 3.977294, 5.067377, 0.808415, 1.000000, 
30323, 14.888, 2.122757, 0.450032, 0.378886, 5.146985, 5.720689, 0.826022, 1.000000, 
192, 7.585, 2.248396, 0.434061, 0.380927, 4.430645, 4.920059, 0.809236, 1.000000, 
384, 8.585, 2.322560, 0.441198, 0.375475, 4.283587, 5.959400, 0.832653, 1.000000, 
480, 8.907, 2.439035, 1.046730, 0.654755, 3.362726, 4.707704, 0.847094, 1.000000, 
640, 9.322, 2.441761, 0.442000, 0.404109, 6.133228, 6.382641, 0.847242, 1.000000, 
768, 9.585, 2.802829, 0.849854, 0.497894, 5.260812, 5.456653, 0.843408, 1.000000, 
800, 9.644, 2.404943, 0.681301, 0.553822, 4.320180, 4.679284, 0.875927, 1.000000, 
2400, 11.229, 2.406402, 0.749367, 0.749367, 5.451727, 6.097976, 0.901695, 1.000000, 
9216, 13.170, 2.588420, 0.973521, 0.973521, 6.283117, 6.256413, 0.907257, 1.000000, 
