size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1663988589, 30.632, 166408.000000, 858880.000000, 907192.000000, 85888.000000, 69784.000000, 413336.000000, 332816.000000, 
30323, 14.888, 99360.000000, 460920.000000, 546480.000000, 41400.000000, 38640.000000, 251160.000000, 207000.000000, 
192, 7.585, 80500.000000, 407100.000000, 464600.000000, 41400.000000, 36800.000000, 218500.000000, 177100.000000, 
384, 8.585, 36216.000000, 189128.000000, 222326.000000, 20120.000000, 14084.000000, 100600.000000, 83498.000000, 
480, 8.907, 25760.000000, 60375.000000, 94990.000000, 18515.000000, 13685.000000, 73255.000000, 61985.000000, 
640, 9.322, 20368.000000, 109880.000000, 120064.000000, 8040.000000, 8040.000000, 57352.000000, 48776.000000, 
768, 9.585, 14751.000000, 48723.000000, 83142.000000, 8046.000000, 7599.000000, 49170.000000, 41571.000000, 
800, 9.644, 14157.000000, 49335.000000, 60489.000000, 8151.000000, 7293.000000, 38181.000000, 33462.000000, 
2400, 11.229, 3744.000000, 12051.000000, 12051.000000, 1755.000000, 1521.000000, 9945.000000, 9009.000000, 
9216, 13.170, 825.000000, 2150.000000, 2150.000000, 350.000000, 350.000000, 2325.000000, 2100.000000, 
