size, log2, FFTPack      , FFTW(estim)  , FFTW (auto)  , Green        , Kiss         , PFFFT-U(simd), PFFFT (simd) , 
1663988589, 30.632, 6968.183712, 35992.236637, 38186.657937, 3508.675547, 2753.897098, 17262.216849, 13955.039960, 
30323, 14.888, 7601.554522, 35855.646604, 42588.689851, 3135.088861, 2820.678094, 19534.863907, 16136.265903, 
192, 7.585, 7628.544311, 39515.109204, 45027.013892, 3871.207690, 3486.132248, 21195.253902, 17152.005859, 
384, 8.585, 7880.879292, 41486.512818, 48748.284538, 4273.002402, 3071.416047, 21982.456974, 18303.796547, 
480, 8.907, 7233.291135, 16854.615169, 26944.762346, 5246.410574, 3747.531302, 20826.831888, 17642.296419, 
640, 9.322, 7897.892234, 43630.470137, 47721.594384, 3144.319815, 3021.423644, 22761.918061, 19284.629479, 
768, 9.585, 7218.313809, 23805.911433, 40634.798683, 3845.740055, 3707.705168, 23987.853505, 20231.699690, 
800, 9.644, 7127.123679, 25158.218286, 30949.675278, 3967.524334, 3663.086955, 19568.444032, 17140.307711, 
2400, 11.229, 6680.637835, 21453.302618, 0.000000, 2948.872366, 2636.365257, 17829.141937, 16076.349238, 
9216, 13.170, 6527.569818, 17355.637712, 0.000000, 2689.141752, 2700.630012, 18623.265468, 16896.056512, 
